,kcat,data_type,MW,kcat_MW
ACOADAGAT_HDE_PALM_PALM_c_num1,4677.44868907671,fill,47212.12030000006,356662.9749665392
ACOADAGAT_HDE_PALM_EPA_c_num1,4677.44868907671,fill,47212.12030000006,356662.9749665392
PLDAGAT_MYRS_HDE_HDE_PC_1_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_HDE_PC_2_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_HDE_PC_3_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
ATP2t_m,4677.44868907671,fill,33112.007999999994,508541.0489353639
PLDAGAT_MYRS_HDE_HDE_PC_4_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_HDE_PC_5_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_HDE_PC_6_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_HDE_PC_7_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_HDE_PC_8_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
DEDOLP1,4677.44868907671,fill,32006.04890000002,526113.527267533
PLDAGAT_MYRS_HDE_HDE_PE_9_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PIt_h,4677.44868907671,fill,31916.510799999975,527589.4782545017
PLDAGAT_MYRS_HDE_HDE_PE_10_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_HDE_PE_11_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_HDE_PE_12_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
DEDOLP2,4677.44868907671,fill,32006.04890000002,526113.527267533
FNOR_1,4677.44868907671,fill,33064.73539999999,509268.109270161
PLDAGAT_MYRS_HDE_HDE_PE_13_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PIt2m_num1,4677.44868907671,fill,67577.22810000031,249178.8395901382
PLDAGAT_MYRS_HDE_HDE_PE_14_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_HDE_PE_15_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_HDE_PE_16_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
CLt_h,4677.44868907671,fill,63050.02220000022,267070.72722769156
CLt_e,4677.44868907671,fill,108039.04000000085,155858.61629903436
CLt_m,4677.44868907671,fill,69004.17760000029,244026.0266311193
PIt9_num1,4677.44868907671,fill,60588.86750000008,277919.29401347757
PINAt_h,4677.44868907671,fill,53916.71820000012,312311.5768696048
NAt3_1,4677.44868907671,fill,107726.69630000081,156310.51409747938
PLDAGAT_MYRS_HDE_PALM_PC_1_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PIt2p,4677.44868907671,fill,26251.942200000023,641431.218779544
PLDAGAT_MYRS_HDE_PALM_PC_2_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_PALM_PC_3_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_PALM_PC_4_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_PALM_PC_5_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
SO4t_e,4677.44868907671,fill,65896.04660000035,255536.04729719958
PLDAGAT_MYRS_HDE_PALM_PC_6_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_PALM_PC_7_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_PALM_PC_8_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_PALM_PE_9_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_PALM_PE_10_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_PALM_PE_11_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_PALM_PE_12_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_PALM_PE_13_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_PALM_PE_14_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
CEF_h,4677.44868907671,fill,50516.609699999986,333332.25211818126
NDHPQR_h,4677.44868907671,fill,52276.11640000007,322112.9731946984
PTOX_h_num1,4677.44868907671,fill,58598.81690000018,287357.5981817494
PLDAGAT_MYRS_HDE_PALM_PE_15_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_MYRS_HDE_PALM_PE_16_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PC_1_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PC_2_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PC_3_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PC_4_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PC_5_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PC_6_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PC_7_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PC_8_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PE_9_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PE_10_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PE_11_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PE_12_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PE_13_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
ACGSm,2.1999998,Other_species,52966.870600000024,149.52741572767178
PLDAGAT_HDE_PALM_PALM_PE_14_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PE_15_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_PALM_PE_16_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PC_1_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PC_2_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PC_3_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PC_4_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PC_5_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PC_6_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PC_7_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PC_8_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PE_9_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PE_10_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PE_11_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PE_12_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PE_13_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
SOD_m,4677.44868907671,fill,49555.32420000001,339798.30729623506
FNOR2_h_num1,4677.44868907671,fill,37938.7711,443841.87448486325
UREAt_1_num1,4677.44868907671,fill,75986.02600000042,221604.10495314052
G3PAT182_9_12_c,4677.44868907671,fill,123675.59260000034,136153.09962683867
PLDAGAT_HDE_PALM_EPA_PE_14_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PE_15_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
PLDAGAT_HDE_PALM_EPA_PE_16_c,4677.44868907671,fill,108166.34700000077,155675.17761024172
CHOPT_LNA_LNA_c_num1,4677.44868907671,fill,24992.555500000017,673753.24146729
NADKm,96.629,Other_species,26025.744899999994,13366.1649776641
ATPt_m,4677.44868907671,fill,33112.007999999994,508541.0489353639
DHNANT_h,4677.44868907671,fill,34862.03870000001,483012.92490608565
AMPQT_h,4677.44868907671,fill,23083.326599999993,729479.5751265835
r0812,4677.44868907671,fill,36144.36900000004,465876.587323357
COAtim,4677.44868907671,fill,30797.329400000013,546762.1903825254
DPCOAt_m,4677.44868907671,fill,30797.329400000013,546762.1903825254
CSNATr,42.53666666666667,Other_species,69705.5510000003,2196.8408226196984
FADt_h,4677.44868907671,fill,34268.47260000004,491379.2183628324
CSNATm_reverse,42.53666666666667,Other_species,154663.7408000007,990.0963160978924
OAAAKGtm_reverse,4677.44868907671,fill,33640.84230000001,500546.77973018977
PDHe3hr_reverse,313.957648,Other_species,113507.86280000026,9957.43823308069
ASPTAm_reverse_num1,174.57206896551725,Other_species,94941.49960000021,6619.4388220497485
GCC2cm_reverse,313.957648,Other_species,105655.50200000008,10697.479179077669
