reactions,metabolites,metabolitestotal,gpr,genes
GALMAN6,galman6_c,galman6,TM1751 and TM1752 and TM1192 and TM1624,TM1752
GALMAN6,galman6_c,galman6,TM1751 and TM1752 and TM1192 and TM1624,TM1624
GALMAN6,galman6_c,galman6,TM1751 and TM1752 and TM1192 and TM1624,TM1192
GALMAN600b_e,galman600_e,galman600,TM1227,TM1227
GALMAN600c_e,galman600_e,galman600,TM1227,TM1227
GALMAN600a_e,galman600_e,galman600,TM1227,TM1227
GALabc,gal_e,gal,TM1204 and TM1203 and TM1202,TM1204
GALabc,gal_e,gal,TM1204 and TM1203 and TM1202,TM1203
GALabc,gal_e,gal,TM1204 and TM1203 and TM1202,TM1202
KAS14,acACP_c,acACP,TM0802,TM0802
KAS14,malACP_c,malACP,TM0802,TM0802
GLCabc,glc__D_e,glc__D,TM1204 and TM1203 and TM1202,TM1204
GLCabc,glc__D_e,glc__D,TM1204 and TM1203 and TM1202,TM1203
GLCabc,glc__D_e,glc__D,TM1204 and TM1203 and TM1202,TM1202
GAPD,g3p_c,g3p,TM0688,TM0688
GARFT,10fthf_c,10fthf,TM1248,TM1248
GARFT,gar_c,gar,TM1248,TM1248
LEUabc,leu__L_e,leu__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1138
LEUabc,leu__L_e,leu__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1137
LEUabc,leu__L_e,leu__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1136
LEUabc,leu__L_e,leu__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1139
LEUabc,leu__L_e,leu__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1135
GF6PTA,f6p_c,f6p,TM0148,TM0148
GF6PTA,gln__L_c,gln__L,TM0148,TM0148
GHMT2r,ser__L_c,ser__L,TM0720,TM0720
GHMT2r,thf_c,thf,TM0720,TM0720
GLCAASE3,trpglcur_c,trpglcur,TM1062,TM1062
ILEabc,ile__L_e,ile__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1138
ILEabc,ile__L_e,ile__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1137
ILEabc,ile__L_e,ile__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1136
ILEabc,ile__L_e,ile__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1139
ILEabc,ile__L_e,ile__L,TM1139 and TM1138 and TM1136 and TM1135 and TM1137,TM1135
HSDy,hom__L_c,hom__L,TM0547,TM0547
LMNe,lmn30_e,lmn30,TM0024,TM0024
LMN2_num1,lmn2_c,lmn2,TM0025,TM0025
KARA2,2ahbut_c,2ahbut,TM0550,TM0550
KARA1,23dhmb_c,23dhmb,TM0550,TM0550
IMP,pdip_d_d_c,pdip_d_d,TM1415,TM1415
GLNS,glu__L_c,glu__L,TM0943,TM0943
GLCURS1_num1,xylan4_c,xylan4,TM0055,TM0055
GLGC_num1,g1p_c,g1p,TM0240,TM0240
GLNSP2,uaaGgla_c,uaaGgla,TM0943,TM0943
GLS_num1,glucan4_c,glucan4,TM0024,TM0024
MANA2,mantr_c,mantr,TM1624,TM1624
GLUCAN2abc,glucan6_e,glucan6,TM0300 and TM0301 and TM0302 and TM0303 and TM0304,TM0301
GLUCAN2abc,glucan6_e,glucan6,TM0300 and TM0301 and TM0302 and TM0303 and TM0304,TM0303
GLUCAN2abc,glucan6_e,glucan6,TM0300 and TM0301 and TM0302 and TM0303 and TM0304,TM0302
GLUCAN2abc,glucan6_e,glucan6,TM0300 and TM0301 and TM0302 and TM0303 and TM0304,TM0304
GLUCAN2abc,glucan6_e,glucan6,TM0300 and TM0301 and TM0302 and TM0303 and TM0304,TM0300
GLUCANabc,glucan4_e,glucan4,TM0300 and TM0301 and TM0302 and TM0303 and TM0304,TM0301
GLUCANabc,glucan4_e,glucan4,TM0300 and TM0301 and TM0302 and TM0303 and TM0304,TM0303
GLUCANabc,glucan4_e,glucan4,TM0300 and TM0301 and TM0302 and TM0303 and TM0304,TM0302
GLUCANabc,glucan4_e,glucan4,TM0300 and TM0301 and TM0302 and TM0303 and TM0304,TM0304
GLUCANabc,glucan4_e,glucan4,TM0300 and TM0301 and TM0302 and TM0303 and TM0304,TM0300
GluForTx,forglu_c,forglu,TM0843,TM0843
GluForTx,thf_c,thf,TM0843,TM0843
MANA3,manttr_c,manttr,TM1624,TM1624
GLUFT,5fthf_c,5fthf,TM0843,TM0843
GLUFT,glu__L_c,glu__L,TM0843,TM0843
GLUPRT,gln__L_c,gln__L,TM1247,TM1247
GLUPRT,prpp_c,prpp,TM1247,TM1247
MANA1,manb_c,manb,TM1624,TM1624
GLUSy_num1,akg_c,akg,TM0397 and (TM1217,TM0397
GLUSy_num1,akg_c,akg,TM0397 and (TM1217,TM1217
GLUSy_num1,gln__L_c,gln__L,TM0397 and (TM1217,TM0397
GLUSy_num1,gln__L_c,gln__L,TM0397 and (TM1217,TM1217
LMN2abc_num1,lmn2_e,lmn2,TM0031 and TM0030 and TM0029 and TM0028 and TM0027,TM0028
LMN2abc_num1,lmn2_e,lmn2,TM0031 and TM0030 and TM0029 and TM0028 and TM0027,TM0029
LMN2abc_num1,lmn2_e,lmn2,TM0031 and TM0030 and TM0029 and TM0028 and TM0027,TM0027
LMN2abc_num1,lmn2_e,lmn2,TM0031 and TM0030 and TM0029 and TM0028 and TM0027,TM0031
LMN2abc_num1,lmn2_e,lmn2,TM0031 and TM0030 and TM0029 and TM0028 and TM0027,TM0030
GLYC3Pabc,glyc3p_e,glyc3p,TM1121 and TM1120 and TM1122,TM1121
