,MW
LYSDC_num2,812.6012
DAAD,95.2146
UREAtpp,119.12
XANt2pp_num1,48.868
XANt2pp_num2,49.1082
XANt2pp_num3,51.758
GLYC3Pabcpp,192.2597
PPPNt2rpp,41.5927
PTRCORNt7pp,46.4949
SPMDabcpp_num1,185.0964
SPMDabcpp_num2,142.4178
HG2tex_num1,41.2198
HG2tex_num2,116.766
HG2tex_num3,117.9999
HG2tex_num4,121.1044
NTPP5_num1,17.3058
NTPP5_num2,60.8246
NTD3_num1,45.4161
NTD3_num2,26.9004
NTD3_num3,20.2554
GLYOX,28.4344
DADNtex,33.589
DHAtex_num1,41.2198
DHAtex_num2,116.766
DHAtex_num3,117.9999
DHAtex_num4,121.1044
ETOHtex_num1,41.2198
ETOHtex_num2,116.766
ETOHtex_num3,117.9999
ETOHtex_num4,121.1044
MTRPOX,40.902
AGM4PCPpp,21.0399
GTPDPDP,109.7423
RNDR2_num1,270.3917
RNDR2_num2,274.1399
XAND,129.7994
HACD3_num1,159.1878
HACD3_num2,77.0722
ACACtex_num1,41.2198
ACACtex_num2,116.766
ACACtex_num3,117.9999
ACACtex_num4,121.1044
ACNAMtex_num1,117.9999
ACNAMtex_num2,27.888
ACNAMtex_num3,121.1044
ARBTNabcpp,161.1942
NNDMBRT,73.974
THRA2_num1,90.6332
THRA2_num2,145.9788
ASO3t8pp,90.9949
H2Stex_num1,116.766
H2Stex_num2,41.2198
H2Stex_num3,121.1044
H2Stex_num4,117.9999
PPK,160.863
ABUTD,203.32
E4PD_num1,149.1976
E4PD_num2,142.13
IG3PS,50.1073
DADK,23.586
DUTPDP_num1,48.4664
DUTPDP_num2,16.3707
NTP5,39.1933
FORt2pp_num1,154.9536
FORt2pp_num2,30.5646
MTAN,48.7079
DPR_num1,33.8708
DPR_num2,216.2761
THRD_L_num1,224.781
THRD_L_num2,140.9296
4PEPTtex_num1,41.2198
4PEPTtex_num2,116.766
4PEPTtex_num3,117.9999
4PEPTtex_num4,121.1044
NAMNPP,45.8973
SELNPS,73.3745
CRNCAR,28.1902
GALabcpp_num1,163.2282
GALabcpp_num2,160.2413
GLYCLTt2rpp_num1,59.1682
GLYCLTt2rpp_num2,58.9202
GUAt2pp,48.868
HPPPNt2rpp,41.5508
ANHMK,39.4963
DHFR_num1,26.3483
DHFR_num2,17.9994
PRAIi,49.4923
TYRTA_num1,87.1467
TYRTA_num2,87.0756
TYRTA_num3,204.5619
SHKK_num1,19.538
SHKK_num2,19.1508
SADH,98.5971
GLUSy,861.249
GUAPRT_num1,80.461
GUAPRT_num2,67.8824
PDH,4586.6113
DMSOR2pp,129.2504
HYD3pp_num1,482.9335
HYD3pp_num2,181.7482
NO3R1pp_num1,250.963
NO3R1pp_num2,474.5552
AACPS5,89.3395
MANptspp,295.8849
NTD8_num1,25.3988
NTD8_num2,26.9004
NTD8_num3,45.4161
NTD8_num4,20.2554
GALCTD,56.4016
MLTG4,69.041
UDPGDC,445.7333
PUNP4_num1,179.0077
PUNP4_num2,155.6995
AMAOTr,94.6712
ARGORNt7pp,49.5015
NTD11pp_num1,60.824
NTD11pp_num2,104.4142
DKGLCNR2x,70.791
ACGS,295.1711
PDE1_num1,180.5208
PDE1_num2,30.938
MCITD,53.9518
CU2tex_num1,116.766
CU2tex_num2,41.2198
CU2tex_num3,121.1044
CU2tex_num4,117.9999
GLCATr,60.288
ALAALAr_num1,39.3158
ALAALAr_num2,65.6794
CLtex_num1,41.2198
CLtex_num2,116.766
CLtex_num3,117.9999
CLtex_num4,121.1044
CELBpts_num1,238.295
CELBpts_num2,208.7496
ACACT1r_num1,46.5305
ACACT1r_num2,161.4099
ACACT1r_num3,81.7524
MALTptspp,211.1211
CD2abcpp,76.8399
G2PPpp_num1,104.4142
G2PPpp_num2,98.8772
Kt3pp_num1,39.1685
Kt3pp_num2,66.4112
Kt3pp_num3,135.5917
Kt3pp_num4,44.3209
AGM3PApp_num1,45.6344
AGM3PApp_num2,47.9852
AGM3PApp_num3,31.4121
AGM3PApp_num4,31.0724
SUCOAS,142.3403
NTP1_num1,61.9863
NTP1_num2,39.1933
GALKr,41.4421
PANTS,63.1953
YUMPS,98.7297
DHQS,38.881
PGCD,176.7031
ADSL1r,206.1712
SERD_D,47.9006
AICART,57.3292
FRUpts2pp,295.8849
G6Pt6_2pp,50.6066
PROtex_num1,116.766
PROtex_num2,41.2198
PROtex_num3,121.1044
PROtex_num4,117.9999
SBTtex_num1,41.2198
SBTtex_num2,116.766
SBTtex_num3,117.9999
SBTtex_num4,121.1044
PFK_num1,139.3682
PFK_num2,64.912
PGM_num1,57.1128
PGM_num2,56.1939
TPI,53.9436
RPI_num1,45.7208
RPI_num2,32.1466
PERD,82.7353
PYDAMK,61.6948
AKGtex_num1,41.2198
AKGtex_num2,116.766
AKGtex_num3,117.9999
AKGtex_num4,121.1044
ALLTNtex_num1,41.2198
ALLTNtex_num2,116.766
ALLTNtex_num3,117.9999
ALLTNtex_num4,121.1044
ASNtex_num1,41.2198
ASNtex_num2,116.766
ASNtex_num3,117.9999
ASNtex_num4,121.1044
FE3HOXabcpp,161.1942
FADRx2,530.1587
PDE4,180.5208
AGM4PH,37.5947
AM4PA,20.5362
ATHRDHr,108.9957
LSERDHr,108.9957
DSERDHr,108.9957
OBTFL_num1,198.9187
OBTFL_num2,213.2029
OBTFL_num3,114.1398
THRt2pp_num1,31.1685
THRt2pp_num2,22.4741
G6PP_num1,29.7077
G6PP_num2,30.4128
G6PP_num3,23.0075
MMCD,175.0355
GLNS,622.8451
TYMtex_num1,41.2198
TYMtex_num2,116.766
TYMtex_num3,117.9999
TYMtex_num4,121.1044
GTHS,142.2436
CMPtex_num1,41.2198
CMPtex_num2,116.766
CMPtex_num3,117.9999
CMPtex_num4,121.1044
DUMPtex_num1,41.2198
DUMPtex_num2,116.766
DUMPtex_num3,117.9999
DUMPtex_num4,121.1044
XMPtex_num1,41.2198
XMPtex_num2,116.766
XMPtex_num3,117.9999
XMPtex_num4,121.1044
3PEPTtex_num1,41.2198
3PEPTtex_num2,116.766
3PEPTtex_num3,117.9999
3PEPTtex_num4,121.1044
ANHGMtex_num1,41.2198
ANHGMtex_num2,116.766
ANHGMtex_num3,117.9999
ANHGMtex_num4,121.1044
UDPKAAT,41.6498
ULA4NFT,445.7333
UPLA4FNT,36.3391
UPLA4FNF,33.1118
ULA4Ntppi,26.2771
HEPT1,35.5438
FALDtex_num1,41.2198
FALDtex_num2,116.766
FALDtex_num3,117.9999
FALDtex_num4,121.1044
ALR2_num1,30.9866
ALR2_num2,31.1096
ALR2_num3,29.4368
ALR2_num4,38.8322
AMALT2,78.5035
MLTP1,181.0448
HEPT2,39.0421
CYSDtex_num1,41.2198
CYSDtex_num2,116.766
CYSDtex_num3,117.9999
CYSDtex_num4,121.1044
HXAND,129.7994
G3PItex_num1,41.2198
G3PItex_num2,116.766
G3PItex_num3,117.9999
G3PItex_num4,121.1044
G3PGtex_num1,41.2198
G3PGtex_num2,116.766
G3PGtex_num3,117.9999
G3PGtex_num4,121.1044
G3PEtex_num1,121.1044
G3PEtex_num2,117.9999
G3PEtex_num3,41.2198
G3PEtex_num4,116.766
G3PCtex_num1,41.2198
G3PCtex_num2,116.766
G3PCtex_num3,117.9999
G3PCtex_num4,121.1044
MOAT3C,32.9201
RHAT1,36.7305
GLCabcpp,163.2282
GALT1,40.8259
GLCTR2,39.4232
UDPGPpp,60.824
PPPGO,84.9052
DAMPtex_num1,41.2198
DAMPtex_num2,116.766
DAMPtex_num3,117.9999
DAMPtex_num4,121.1044
DCMPtex_num1,41.2198
DCMPtex_num2,116.766
DCMPtex_num3,117.9999
DCMPtex_num4,121.1044
DGMPtex_num1,41.2198
DGMPtex_num2,116.766
DGMPtex_num3,117.9999
DGMPtex_num4,121.1044
DTMPtex_num1,41.2198
DTMPtex_num2,116.766
DTMPtex_num3,117.9999
DTMPtex_num4,121.1044
GMPtex_num1,117.9999
GMPtex_num2,121.1044
GMPtex_num3,116.766
GMPtex_num4,41.2198
IMPtex_num1,41.2198
IMPtex_num2,116.766
IMPtex_num3,117.9999
IMPtex_num4,121.1044
UMPtex_num1,121.1044
UMPtex_num2,117.9999
UMPtex_num3,41.2198
UMPtex_num4,116.766
G1Ptex_num1,41.2198
G1Ptex_num2,116.766
G1Ptex_num3,117.9999
G1Ptex_num4,121.1044
ADNK1,23.586
CUt3,773.0108
ZN2t3pp_num1,65.8545
ZN2t3pp_num2,34.6784
SKMtex_num1,41.2198
SKMtex_num2,116.766
SKMtex_num3,117.9999
SKMtex_num4,121.1044
MNt2pp,44.1937
MNtex_num1,41.2198
MNtex_num2,116.766
MNtex_num3,117.9999
MNtex_num4,121.1044
GAL1Ptex_num1,41.2198
GAL1Ptex_num2,116.766
GAL1Ptex_num3,117.9999
GAL1Ptex_num4,121.1044
O2Stex_num1,116.766
O2Stex_num2,41.2198
O2Stex_num3,121.1044
O2Stex_num4,117.9999
HEPK1,30.8723
HEPT3,38.7307
HEPK2,27.461
ALDD3y_num1,36.5018
ALDD3y_num2,225.2254
ALDD3y_num3,84.194
R5PP_num1,23.0075
R5PP_num2,20.7798
R5PP_num3,30.4128
R5PP_num4,27.1631
R5PP_num5,29.7211
CYSSADS_num1,86.4684
CYSSADS_num2,88.8675
CPPPGO2,52.729
AGM3PH,37.5947
HOMt2pp_num1,31.1685
HOMt2pp_num2,22.4268
HOMtex_num1,41.2198
HOMtex_num2,116.766
HOMtex_num3,117.9999
HOMtex_num4,121.1044
SO2tex_num1,41.2198
SO2tex_num2,116.766
SO2tex_num3,117.9999
SO2tex_num4,121.1044
LDH_D2,64.6123
SHCHF,99.9028
SUCBZL,200.7387
CYSDDS,70.3066
CYStpp_num1,21.2483
CYStpp_num2,32.3242
ACSERtpp_num1,21.2483
ACSERtpp_num2,32.3242
ACSERtex_num1,116.766
ACSERtex_num2,41.2198
ACSERtex_num3,121.1044
ACSERtex_num4,117.9999
NTP10_num1,39.1933
NTP10_num2,36.4253
PRAIS,73.7081
GDMANE,72.2823
GPDDA4,27.4096
LPLIPAL2E140,38.9783
LPLIPAL2E180,38.9783
LPLIPAL2G161,38.9783
LPLIPAL2G181,38.9783
2AGPE120tipp,41.6556
AACPS6,89.3395
AACPS7,89.3395
G3PGabcpp,192.2597
G3PIabcpp,192.2597
G3PSabcpp,192.2597
QMO2,23.0648
QMO3,23.0648
LPLIPAL2E141,38.9783
LPLIPAL2E161,38.9783
LPLIPAL2E181,38.9783
LPLIPAL2G180,38.9783
LPLIPAL2G141,38.9783
2AGPA120tipp,41.6556
2AGPG180tipp,41.6556
IPDDI,20.5083
2AGPGAT180,80.7
2AGPGAT181,80.7
LPLIPAL2ATG120,38.9783
PLIPA1E140pp,66.3263
PLIPA1E160pp,66.3263
PLIPA1E161pp,66.3263
AACPS8,89.3395
AACPS9,89.3395
HXCT,92.9717
2AGPEAT160,80.7
DURADx,178.7966
ECOAH7_num1,77.0722
ECOAH7_num2,159.1878
G1PPpp_num1,91.3658
G1PPpp_num2,98.8772
GALCTND,42.5229
GCALDD,209.0912
HISTP,80.5559
LDH_D,146.1392
AMALT4,78.5035
NTD11_num1,26.9004
NTD11_num2,25.3988
ORNDC_num1,158.8324
ORNDC_num2,164.8316
UPP3MT,99.9028
KAS15,67.0302
ALAALAtex_num1,41.2198
ALAALAtex_num2,116.766
ALAALAtex_num3,117.9999
ALAALAtex_num4,121.1044
FACOAL181t2pp_num1,124.664
FACOAL181t2pp_num2,60.7731
T2DECAI,37.9381
3OAS161,85.2266
EAR141y,111.4558
EAR161x,111.4558
DASYN160,31.4538
DASYN161,31.4538
DASYN181,31.4538
CDAPPA161,28.4508
PGSA180,20.7006
PSSA140,52.8018
2AGPGAT141,80.7
FACOAE180,127.8653
FACOAE100,127.8653
FACOAE80,127.8653
FACOAE60,127.8653
PLIPA1E120pp,66.3263
MALtex_num1,41.2198
MALtex_num2,116.766
MALtex_num3,117.9999
MALtex_num4,121.1044
NO3tex_num1,117.9999
NO3tex_num2,41.2198
NO3tex_num3,116.766
NO3tex_num4,121.1044
3OAS141,85.2266
3OAR121,102.2412
CFAS160G,87.818
URAt2pp_num1,90.1203
URAt2pp_num2,45.5574
FACOAE141,127.8653
FACOAE161,127.8653
TTDCEAtexi,48.5416
HDCEAtexi,48.5416
ALAALAD,21.213
2AGPEAT180,80.7
2AGPEAT181,80.7
2AGPGAT140,80.7
PLIPA1E181pp,66.3263
PLIPA1G180pp,66.3263
PLIPA1G181pp,66.3263
ALAALAabcpp_num1,203.5039
ALAALAabcpp_num2,197.6779
HEXt2rpp,47.5277
G3PEabcpp,192.2597
G3PCabcpp,192.2597
2AGPGAT161,80.7
AMPTASEPG_num1,329.2789
AMPTASEPG_num2,277.081
AMPTASEPG_num3,98.9189
AMPTASEPG_num4,105.8308
PROGLYabcpp,203.5039
GTHRDabcpp,192.8889
2AGPG140tipp,41.6556
2AGPG160tipp,41.6556
2AGPG141tipp,41.6556
2AGPG161tipp,41.6556
2AGPG181tipp,41.6556
2AGPEAT140,80.7
2AGPEAT120,80.7
2AGPEAT161,80.7
2AGPEAT141,80.7
2AGPGAT160,80.7
LPLIPAL2ATG140,38.9783
LPLIPAL2ATG141,38.9783
LPLIPAL2ATG160,38.9783
LPLIPAL2ATG180,38.9783
LPLIPAL2ATG161,38.9783
LPLIPAL2ATG181,38.9783
CLPNS180pp_num1,54.8223
CLPNS180pp_num2,47.6335
CLPNS181pp_num1,54.8223
CLPNS181pp_num2,47.6335
PG161abcpp,128.9214
PGP120abcpp,128.9214
PGP161abcpp,128.9214
PGP181abcpp,128.9214
PA120abcpp,128.9214
PLIPA1G120pp,66.3263
CLPNS120pp_num1,47.6335
CLPNS120pp_num2,54.8223
ALPATE160pp,82.0363
ALPATG160pp,82.0363
2AGPGAT120,80.7
LPLIPAL2ATE120,38.9783
LPLIPAL2ATE140,38.9783
LPLIPAL2ATE160,38.9783
LPLIPAL2ATE180,38.9783
LPLIPAL2ATE141,38.9783
LPLIPAL2ATE161,38.9783
LPLIPAL2ATE181,38.9783
FACOAL141t2pp_num1,60.7731
FACOAL141t2pp_num2,124.664
FACOAL161t2pp_num1,124.664
FACOAL161t2pp_num2,60.7731
PA160abcpp,128.9214
PA181abcpp,128.9214
PGPP140pp_num1,19.4181
PGPP140pp_num2,29.0213
PGPP141pp_num1,19.4181
PGPP141pp_num2,29.0213
PGPP160pp_num1,19.4181
PGPP160pp_num2,29.0213
PGPP180pp_num1,19.4181
PGPP180pp_num2,29.0213
PLIPA1E180pp,66.3263
PLIPA1G140pp,66.3263
PLIPA1G161pp,66.3263
CLPNS160pp_num1,47.6335
CLPNS160pp_num2,54.8223
CLPNS161pp_num1,54.8223
CLPNS161pp_num2,47.6335
PG160abcpp,128.9214
PGP140abcpp,128.9214
PAPA120pp,29.0213
PAPA140pp,29.0213
PAPA141pp,29.0213
PAPA160pp,29.0213
PAPA161pp,29.0213
PAPA180pp,29.0213
HPYRI,58.7549
TPRDCOAS,31.6444
GAMptspp,295.8849
GSNt2pp,46.3892
GSNtex_num1,41.2198
GSNtex_num2,116.766
GSNtex_num3,117.9999
GSNtex_num4,121.1044
FORtex_num1,41.2198
FORtex_num2,116.766
FORtex_num3,117.9999
FORtex_num4,121.1044
D_LACt2pp_num1,59.1682
D_LACt2pp_num2,58.9202
RIBtex_num1,41.2198
RIBtex_num2,116.766
RIBtex_num3,117.9999
RIBtex_num4,121.1044
FLVRx,26.242
THMtex_num1,41.2198
THMtex_num2,116.766
THMtex_num3,117.9999
THMtex_num4,121.1044
XYLUtex_num1,41.2198
XYLUtex_num2,116.766
XYLUtex_num3,117.9999
XYLUtex_num4,121.1044
ALLtex_num1,41.2198
ALLtex_num2,117.9999
ALLtex_num3,116.766
ALLtex_num4,121.1044
GGPTRCO,47.1695
34dhpactex_num1,41.2198
34dhpactex_num2,116.766
34dhpactex_num3,117.9999
34dhpactex_num4,121.1044
MALTHXtexi,149.7367
HYD1pp_num1,181.7482
HYD1pp_num2,482.9335
HYD1pp_num3,232.2686
FE3DHBZStonex_num1,149.8687
FE3DHBZStonex_num2,141.8044
23DAPPAtex_num1,41.2198
23DAPPAtex_num2,116.766
23DAPPAtex_num3,117.9999
23DAPPAtex_num4,121.1044
ECAP3pp,135.966
FEOXAMtonex,150.0909
FMNRx_num1,42.5067
FMNRx_num2,26.242
PHEt2rpp_num1,50.6773
PHEt2rpp_num2,49.6901
DHBS,118.2243
MDDCP1pp_num1,41.849
MDDCP1pp_num2,87.2178
MDDCP1pp_num3,88.8879
MDDCP1pp_num4,51.7983
MDDCP1pp_num5,43.3461
MDDCP1pp_num6,47.7524
GUI2,53.9872
OMBZLM,28.0732
GLYCK,38.7345
MLTG5,69.041
GPDDA3,27.4096
2DOXG6PP_num1,23.0075
2DOXG6PP_num2,29.7077
2DOXG6PP_num3,24.3302
2DOXG6PP_num4,30.3709
AGMH,37.5947
MPTG_num1,186.3215
MPTG_num2,128.5962
MPTG_num3,194.8907
MPTG_num4,195.5471
MPTG2_num1,194.8907
MPTG2_num2,195.5471
MPTG2_num3,128.5962
MPTG2_num4,186.3215
MCTP1App_num1,228.3702
MCTP1App_num2,229.0266
MCTP2App_num1,228.3702
MCTP2App_num2,229.0266
MCTP1Bpp_num1,36.0824
MCTP1Bpp_num2,67.8125
MELIBt3ipp,42.5382
GLCtex_copy2_num1,116.766
GLCtex_copy2_num2,117.9999
GLCtex_copy2_num3,41.2198
GLCtex_copy2_num4,121.1044
NAt3pp_num1,44.3209
NAt3pp_num2,39.1685
SFGTHi_num1,125.0371
SFGTHi_num2,31.4245
K2L4Aabcpp,128.9214
DSBCGT,51.2433
DSBGGT,54.99
DHNAOT4,33.594
AMPMS2,70.8504
THIORDXi_num1,20.4696
THIORDXi_num2,29.4406
THIORDXi_num3,33.1887
PPPGO3,84.9052
PDX5POi,51.0903
PLIPA1A181pp,66.3263
LPLIPAL2A141,38.9783
HG2t3pp,65.8545
CYTBO3_4pp,143.9313
EAR141x,111.4558
EAR181x,111.4558
EAR181y,111.4558
G3PAT141,100.021
G3PAT181,100.021
DASYN140,31.4538
DASYN180,31.4538
DASYN141,31.4538
CDAPPA160,28.4508
CDAPPA141,28.4508
PGSA141,20.7006
5DOAN,48.7079
FACOAE120,127.8653
3OAR120,102.2412
3HAD80_num1,37.9381
3HAD80_num2,102.1977
3HAD120_num1,102.1977
3HAD120_num2,37.9381
EAR180x,111.4558
SO4t2pp,29.305
EAR180y,111.4558
AGPAT120,27.4532
PGPP120_num1,19.4181
PGPP120_num2,29.0213
DAGK120,39.734
PSSA180,52.8018
PSSA161,52.8018
PSSA141,52.8018
PSD160,35.9344
PSD161,35.9344
PSD180,35.9344
COLIPAabcpp,128.9214
PLIPA2A140pp,66.3263
PLIPA2A141pp,66.3263
PLIPA2A180pp,66.3263
GAM6Pt6_2pp,50.6066
PPALtex_num1,41.2198
PPALtex_num2,116.766
PPALtex_num3,117.9999
PPALtex_num4,121.1044
CA2tex_num1,41.2198
CA2tex_num2,116.766
CA2tex_num3,117.9999
CA2tex_num4,121.1044
CUtex_num1,41.2198
CUtex_num2,116.766
CUtex_num3,117.9999
CUtex_num4,121.1044
CU1Opp,56.5562
SUCDi,355.0752
LPLIPAL1E141pp,94.4886
LALDO2x,309.6976
12PPDRtex_num1,41.2198
12PPDRtex_num2,116.766
12PPDRtex_num3,117.9999
12PPDRtex_num4,121.1044
LPLIPAL1E160pp,94.4886
LPLIPAL1E180pp,94.4886
LPLIPAL1E181pp,94.4886
LPLIPAL1G160pp,94.4886
LPLIPAL1G161pp,94.4886
LPLIPAL1G120pp,94.4886
PLIPA2E140pp,66.3263
PLIPA2E160pp,66.3263
PLIPA2A161pp,66.3263
PLIPA2A181pp,66.3263
F6Ptex_num1,41.2198
F6Ptex_num2,116.766
F6Ptex_num3,117.9999
F6Ptex_num4,121.1044
GAMAN6Ptex_num1,41.2198
GAMAN6Ptex_num2,116.766
GAMAN6Ptex_num3,117.9999
GAMAN6Ptex_num4,121.1044
ALR4x,309.6976
LPLIPAL1G141pp,94.4886
LPLIPAL1G180pp,94.4886
LPLIPAL1G181pp,94.4886
ACONTb_num1,186.9962
ACONTb_num2,195.3544
GLCP2_num1,181.0448
GLCP2_num2,186.3451
F6Pt6_2pp,50.6066
PLIPA2E141pp,66.3263
PLIPA2E181pp,66.3263
PLIPA2G140pp,66.3263
3HAD161_num1,37.9381
3HAD161_num2,102.1977
PLIPA2G160pp,66.3263
PLIPA2G181pp,66.3263
ASNS1,125.318
EAR80y,111.4558
EAR120y,111.4558
3OAR181,102.2412
3HAD121_num1,37.9381
3HAD121_num2,102.1977
EAR121y,111.4558
GTHRDHpp,61.768
PROGLYtex_num1,41.2198
PROGLYtex_num2,116.766
PROGLYtex_num3,117.9999
PROGLYtex_num4,121.1044
MDDCP2pp_num1,47.7524
MDDCP2pp_num2,87.2178
MDDCP2pp_num3,88.8879
MDDCP2pp_num4,51.7983
MDDCP2pp_num5,43.3461
MDDCP2pp_num6,41.849
MDDCP3pp_num1,47.7524
MDDCP3pp_num2,87.2178
MDDCP3pp_num3,88.8879
MDDCP3pp_num4,51.7983
MDDCP3pp_num5,43.3461
MDDCP3pp_num6,41.849
EAR140x,111.4558
EAR40y,111.4558
3OAS181,86.0915
EAR161y,111.4558
G3PAT140,100.021
G3PAT160,100.021
G3PAT161,100.021
AGPAT160,27.4532
CDAPPA140,28.4508
MLDCP1App_num1,36.0824
MLDCP1App_num2,34.4111
MLDCP1App_num3,67.8125
MLDCP1App_num4,34.6359
MLDCP1App_num5,33.3253
EAR160y,111.4558
EAR100y,111.4558
3OAR141,102.2412
3OAR161,102.2412
3HAD141_num1,37.9381
3HAD141_num2,102.1977
EAR121x,111.4558
PSD140,35.9344
MICITDr,186.9962
CDAPPA181,28.4508
PGSA140,20.7006
LPLIPAL1A141pp,94.4886
LPLIPAL1A180pp,94.4886
LPLIPAL1E140pp,94.4886
LPLIPAL1E161pp,94.4886
LPLIPAL1G140pp,94.4886
ACONTa_num1,186.9962
ACONTa_num2,195.3544
MLDCP2App_num1,67.8125
MLDCP2App_num2,36.0824
MLDCP2App_num3,34.6359
MLDCP2App_num4,33.3253
MLDCP2App_num5,34.4111
PGPP120pp_num1,19.4181
PGPP120pp_num2,29.0213
PGPP181pp_num1,19.4181
PGPP181pp_num2,29.0213
PGSA181,20.7006
PGPP140_num1,19.4181
PGPP140_num2,29.0213
PGPP141_num1,19.4181
PGPP141_num2,29.0213
MDDCP5pp_num1,47.7524
MDDCP5pp_num2,87.2178
MDDCP5pp_num3,88.8879
MDDCP5pp_num4,51.7983
MDDCP5pp_num5,43.3461
MDDCP5pp_num6,41.849
MLTGY3pp_num1,49.4175
MLTGY3pp_num2,40.1125
MLTGY3pp_num3,40.2558
MLTGY3pp_num4,73.3532
MLTGY3pp_num5,40.4106
MLTGY3pp_num6,22.2266
MLTGY3pp_num7,58.3022
MLTGY3pp_num8,38.2474
G3PAT180,100.021
AGPAT140,27.4532
PGSA160,20.7006
MLDCP2Bpp_num1,36.0824
MLDCP2Bpp_num2,33.3253
MLDCP2Bpp_num3,34.6359
MLDCP2Bpp_num4,34.4111
MLDCP2Bpp_num5,67.8125
3OAS140_num1,85.2266
3OAS140_num2,86.0915
3OAR140,102.2412
3OAR160,102.2412
PGSA161,20.7006
3HAD181_num1,37.9381
3HAD181_num2,102.1977
PGPP160_num1,19.4181
PGPP160_num2,29.0213
PGPP180_num1,19.4181
PGPP180_num2,29.0213
PGPP161_num1,19.4181
PGPP161_num2,29.0213
PGPP181_num1,29.0213
PGPP181_num2,19.4181
CDAPPA180,28.4508
NTP12,36.4253
PE141abcpp,128.9214
PE160abcpp,128.9214
PE161abcpp,128.9214
PSD141,35.9344
PG140abcpp,128.9214
PG141abcpp,128.9214
PG180abcpp,128.9214
PG181abcpp,128.9214
PGP141abcpp,128.9214
PGP160abcpp,128.9214
PGP180abcpp,128.9214
PAPA181pp,29.0213
PA140abcpp,128.9214
MDDCP4pp_num1,47.7524
MDDCP4pp_num2,87.2178
MDDCP4pp_num3,88.8879
MDDCP4pp_num4,51.7983
MDDCP4pp_num5,43.3461
MDDCP4pp_num6,41.849
CLPNS140pp_num1,54.8223
CLPNS140pp_num2,47.6335
CLPNS141pp_num1,54.8223
CLPNS141pp_num2,47.6335
PG120abcpp,128.9214
PE140abcpp,128.9214
CFAS160E,87.818
CFAS180E,87.818
CFAS180G,87.818
PAPA160,29.0213
PAPA180,29.0213
PAPA181,29.0213
PETNT161pp,63.8044
PSSA160,52.8018
PSSA181,52.8018
DAGK140,39.734
DAGK160,39.734
DAGK141,39.734
DAGK161,39.734
AGPAT181,27.4532
MDDEP3pp_num1,29.9166
MDDEP3pp_num2,21.0399
MDDEP3pp_num3,60.2733
MDDEP3pp_num4,51.7983
MDDEP3pp_num5,33.8874
MDDEP3pp_num6,41.849
MDDEP3pp_num7,49.0578
MDDEP4pp_num1,29.9166
MDDEP4pp_num2,41.849
MDDEP4pp_num3,60.2733
MDDEP4pp_num4,51.7983
MDDEP4pp_num5,33.8874
MDDEP4pp_num6,21.0399
MDDEP4pp_num7,49.0578
MLTGY1pp_num1,49.4175
MLTGY1pp_num2,22.2266
MLTGY1pp_num3,40.4106
MLTGY1pp_num4,40.1125
MLTGY1pp_num5,73.3532
MLTGY1pp_num6,40.2558
MLTGY1pp_num7,58.3022
MLTGY1pp_num8,38.2474
CGLYtex_num1,41.2198
CGLYtex_num2,116.766
CGLYtex_num3,117.9999
CGLYtex_num4,121.1044
3HAD40_num1,37.9381
3HAD40_num2,102.1977
PLIPA1E141pp,66.3263
3OAS60_num1,86.0915
3OAS60_num2,85.2266
3OAS160_num1,85.2266
3OAS160_num2,86.0915
3OAR60,102.2412
3OAR80,102.2412
MLDCP3App_num1,36.0824
MLDCP3App_num2,34.4111
MLDCP3App_num3,67.8125
MLDCP3App_num4,34.6359
MLDCP3App_num5,33.3253
MLDCP1Bpp_num1,36.0824
MLDCP1Bpp_num2,34.4111
MLDCP1Bpp_num3,67.8125
MLDCP1Bpp_num4,34.6359
MLDCP1Bpp_num5,33.3253
2AGPE181tipp,41.6556
2AGPA140tipp,41.6556
2AGPA160tipp,41.6556
2AGPA180tipp,41.6556
2AGPA141tipp,41.6556
PLIPA1G160pp,66.3263
PLIPA1G141pp,66.3263
LPLIPAL2E160,38.9783
LPLIPAL2G140,38.9783
LPLIPAL2G160,38.9783
2AGPE140tipp,41.6556
2AGPE160tipp,41.6556
2AGPE180tipp,41.6556
2AGPE141tipp,41.6556
2AGPE161tipp,41.6556
2AGPA161tipp,41.6556
2AGPA181tipp,41.6556
2AGPG120tipp,41.6556
LPLIPAL2G120,38.9783
PA141abcpp,128.9214
PA161abcpp,128.9214
PA180abcpp,128.9214
PGPP161pp_num1,19.4181
PGPP161pp_num2,29.0213
PE120abcpp,128.9214
PE180abcpp,128.9214
PAPA140,29.0213
PAPA141,29.0213
PAPA161,29.0213
GTHOXtex_num1,41.2198
GTHOXtex_num2,116.766
GTHOXtex_num3,117.9999
GTHOXtex_num4,121.1044
DSBAO1,43.2467
DSBAO2,43.2467
DSBDR_num1,77.3499
DSBDR_num2,73.6017
TDSR1,113.0384
CGLYabcpp,203.5039
PLIPA2A120pp,66.3263
PLIPA2A160pp,66.3263
LPLIPAL2E120,38.9783
EAR100x,111.4558
EAR120x,111.4558
EAR160x,111.4558
EAR140y,111.4558
3OAS121,85.2266
3OAS80_num1,85.2266
3OAS80_num2,86.0915
3OAS100_num1,85.2266
3OAS100_num2,86.0915
3OAS120_num1,86.0915
3OAS120_num2,85.2266
3OAR40,102.2412
3OAR100,102.2412
3HAD60_num1,37.9381
3HAD60_num2,102.1977
3HAD100_num1,37.9381
3HAD100_num2,102.1977
