,MW
PYDXPP_num1,30.2013
PYDXPP_num2,30.3709
PYDXPP_num3,29.7077
PYDXPP_num4,27.1631
PDXPP,30.2013
HACD6_num1,159.1878
HACD6_num2,77.0722
ECOAH1_num1,77.0722
ECOAH1_num2,159.1878
ECOAH2_num1,77.0722
ECOAH2_num2,159.1878
ECOAH3_num1,77.0722
ECOAH3_num2,159.1878
UGLT,79.2914
DXPS,135.2339
CDPMEK,61.8507
MECDPS,50.6926
DDGLK,33.9624
XYLI2,198.968
PMANM,50.4626
ICL,190.0863
GLYCL,364.0876
HCYSMT,33.4228
UDPG4E,74.5302
LACZ,465.9314
TRE6PH,63.8377
XYLI1,198.968
PPC,396.2504
G3PT_num1,30.4128
G3PT_num2,27.1631
CINNDO,126.9954
DHPPD,28.4996
DHCIND,28.4996
CITL,614.1003
GOFUCR,72.2823
PYDXK_num1,61.6948
PYDXK_num2,62.6444
GTPCII2,43.672
SADT2,350.9871
LCARS,81.0267
ALCD19_num1,141.5183
ALCD19_num2,3845.0896
RMPA,120.582
SBTPD,111.4315
PFK_2,139.3682
GLTPD,74.7803
TGBPA_num1,172.3671
TGBPA_num2,77.9206
MANAO,53.5802
TAGURr,54.8083
PGLYCP,27.3892
GLXCL,129.4635
TARTD,110.826
GLCRAL,164.305
KAS14_num1,85.2266
KAS14_num2,86.0915
EDTXS1,35.4068
EDTXS2,37.4104
EDTXS3,35.4934
EDTXS4,37.4104
NNDPR,65.5241
HACD4_num1,159.1878
HACD4_num2,77.0722
HACD7_num1,77.0722
HACD7_num2,159.1878
AACPS1,89.3395
SDPDS,82.538
DMSOR1_num1,233.0425
DMSOR1_num2,144.0938
DKGLCNR2y,70.791
2DGULRy,70.791
RZ5PP,23.3085
NTD9_num1,20.2554
NTD9_num2,26.9004
NTD9_num3,25.3988
NTD9_num4,27.1631
NTD10,26.9004
ADPT,39.7178
ADK1,23.586
OCTDPS,70.4339
AACPS2,89.3395
AACPS3,89.3395
AACPS4,89.3395
AMANK,29.6439
ACNML,130.3739
CAT_num1,336.6504
CAT_num2,320.0953
SERASr,141.991
DMSOR2,144.0938
ACMAMUT,27.9282
DDGALK,31.3736
AB6PGH_num1,53.1613
AB6PGH_num2,55.3608
AB6PGH_num3,53.9349
AMALT1,78.5035
MLTP2,181.0448
PACCOAL,48.9529
GP4GH,31.2967
ACGAMT,81.9145
AADDGT,40.6396
GMHEPK,102.1012
TRE6PS,53.6112
UDCPDP_num1,29.0213
UDCPDP_num2,22.3986
UDCPDP_num3,29.7588
TREH,63.6967
CYTK1,24.7463
CYTK2,24.7463
GK1,47.1854
HACD1_num1,159.1878
HACD1_num2,77.0722
HACD2_num1,159.1878
HACD2_num2,77.0722
ACACCT_num1,92.9717
ACACCT_num2,57.5623
BUTCT,92.9717
2DGULRx,70.791
G1PTT_num1,130.7742
G1PTT_num2,130.9376
TDPGDH_num1,39.7538
TDPGDH_num2,81.1167
UDPGALM,42.9659
TDPDRE,21.2701
TDPDRR,32.6941
G3PD6,148.4235
ALLTN,198.4064
UAPGR,37.851
NDPK7_num1,23.586
NDPK7_num2,61.8538
GLYAT,86.2341
ADNUC,32.5608
GMHEPPA,21.2942
S7PI,83.259
TRPS3,143.4143
CRNBTCT,90.2535
CRNCBCT,90.2535
CRNCDH,28.1902
FADRx,26.242
GTPDPK,83.8756
NDPK2_num1,23.586
NDPK2_num2,61.8538
NDPK3_num1,61.8538
NDPK3_num2,23.586
NDPK4_num1,23.586
NDPK4_num2,61.8538
FCLT_num1,33.0523
FCLT_num2,35.8844
FCLT_num3,93.5084
HBZOPT,32.5118
PNTK,72.7196
DPCOAK,22.6217
HETZK,54.6783
KDOPS,123.3308
KDOPP,79.9884
AST,38.4559
SGDS,35.8002
CYNTAH,170.4884
GSPMDA,141.0639
GSPMDS,141.0639
GUAD,50.2442
TMAOR1_num1,144.0938
TMAOR1_num2,233.0425
TMAOR2,144.0938
DGK1,47.1854
DTMPK,23.7831
NDPK1_num1,23.586
NDPK1_num2,61.8538
TRDR_num1,81.0527
TRDR_num2,84.8008
PGMT_num1,58.361
PGMT_num2,20.7798
PGMT_num3,23.5649
FRUK,67.5114
RHCCE,19.4162
KG6PDC_num1,47.1562
KG6PDC_num2,23.4448
X5PL3E_num1,32.0066
X5PL3E_num2,32.4552
DOGULNR,73.1454
BETALDHx,211.6445
BETALDHy,211.6445
MLTG3,69.041
DKGLCNR1_num1,31.1096
DKGLCNR1_num2,29.4368
NADTRHD,412.4831
FMNRx2_num1,42.5067
FMNRx2_num2,26.242
FMNRx2_num3,530.1587
ACPS1_num1,28.1046
ACPS1_num2,21.7678
GMPS2,117.3584
AMPN,323.9695
GSNK,96.8976
ADCS,71.7414
ADCL_num1,59.4301
ADCL_num2,18.7769
DHAPT,360.8342
UMPK_num1,24.7463
UMPK_num2,155.8216
DDPGALA,21.3906
DURIK1,23.4566
UPPRT,67.5998
CTPS2,241.4966
NTD1_num1,45.4161
NTD1_num2,26.9004
NTD1_num3,25.3006
NTD1_num4,20.2554
NTD7_num1,25.3988
NTD7_num2,26.9004
NTD7_num3,20.2554
NTD7_num4,27.1631
PAPPT3,39.8748
UAGPT3,37.8147
F6PA_num1,229.9682
F6PA_num2,23.5552
AGMHE,174.4658
GMHEPAT,102.1012
IDOND,37.1466
IDOND2,37.1466
GLYCLTDx_num1,70.791
GLYCLTDx_num2,35.3434
HPYRRy_num1,35.3434
HPYRRy_num2,70.791
ACODA,84.6947
ADA,36.3975
DADA,36.3975
ADD,127.4787
ADSS,94.6899
AGDC,163.7964
ASNN_num1,148.509
ASNN_num2,33.394
ASNS2_num1,73.3011
ASNS2_num2,125.318
ASPCT_num1,309.2879
ASPCT_num2,206.5642
DMPPS,69.5491
MCOATA,41.0567
IPDPS,69.5491
DAPE,60.4171
DHDPRy,115.0264
HSK,67.2473
SDPTA_num1,91.5493
SDPTA_num2,44.7291
SDPTA_num3,87.5339
SDPTA_num4,87.3307
SDPTA_num5,79.5666
THRS,47.1138
HSST,71.4546
PPNDH,86.2227
DDPA_num1,152.0381
DDPA_num2,77.6079
DDPA_num3,77.4701
NMNDA,35.1634
NNAM,23.362
P5CD,287.6303
SPMDAT1,87.548
SPMDAT2,87.548
TDPADGAT,24.2204
MALS_num1,60.2736
MALS_num2,80.4885
TRE6PP,29.1753
ADPRDP_num1,42.3063
ADPRDP_num2,47.3336
ARAI,336.4439
M1PD,41.139
G3PD2,72.7232
GALS3,101.3141
FCI,389.86
FCLK,52.2587
FCLPA_num1,23.2225
FCLPA_num2,95.1013
ACCOAL_num1,72.0936
ACCOAL_num2,69.3509
GALUi,131.769
U23GAAT,108.1154
UAAGDS,53.3436
UAMAS,107.2519
UAMAGS,46.9736
UGLYCH,18.1696
OP4ENH,144.4494
HOPNTAL,36.4704
3HPPPNH,62.1857
AKGDH,2418.391
HPYRRx_num1,35.3434
HPYRRx_num2,70.791
GLYCDx,309.6976
ASP1DC,13.8337
UGMDDS,47.4472
UHGADA,33.9559
UAGAAT,92.8795
ATPPRT,66.7334
HISTD,92.2207
IGPDH,80.5559
PRPPS,34.2183
PRATPP,22.7558
PRMICI,26.0326
SERAT,175.8998
CYSS_num1,65.3283
CYSS_num2,68.9793
BPNT,27.1759
PAPSR_num1,71.5064
PAPSR_num2,67.7583
ASPK_num1,177.7754
ASPK_num2,356.481
ASPK_num3,97.0635
ASAD,80.0358
DAPDC,92.3545
METAT,167.8065
ASCBPL,240.364
ACBIPGT,40.328
ADOCBLS,26.3856
ADOCBIK,40.328
TMPK,35.0708
HPPPNDO,136.7842
DHCINDO,136.7842
HKNDDH,63.8749
HKNTDH,63.8749
GLYCK2,39.1043
ENTCS,23.2586
SULR,786.1512
MANPGH,100.015
URDGLYCD,75.9342
CBMKr,31.6441
AMANAPEr,24.0737
ACM6PH,62.4398
NNATr,24.528
CYTDH_num1,33.8229
CYTDH_num2,134.992
CYTDH_num3,32.5608
PSERT,79.5666
AIRC2,78.9222
GAPD,142.13
HEX1,34.7231
GND,102.9626
TAUDO,129.6381
ME2,494.5043
ARGSL,50.3182
CBPS,318.5455
GLU5K,156.2261
IPPS,57.2979
ACOATA,75.6698
MLTG2,69.041
MLTG1,69.041
AMALT3,78.5035
MLTP3,181.0448
SPODM_num1,46.1942
SPODM_num2,42.5316
AHCYSNS,48.7079
TMK,32.3973
NTPP4_num1,15.0461
NTPP4_num2,60.8246
NTPP3_num1,60.8246
NTPP3_num2,16.3707
NTPP3_num3,15.0461
NTPP6_num1,60.8246
NTPP6_num2,65.6516
NTPP7_num1,16.3707
NTPP7_num2,60.8246
NTPP7_num3,43.0309
NTPP8_num1,60.8246
NTPP8_num2,43.0309
P5CR,281.4488
CYANST_num1,37.2775
CYANST_num2,24.1649
CYANST_num3,30.8118
DHPPDA2,80.6766
GMAND,84.0937
PPCSCT,53.8244
CYTD,63.0797
DCYTD,63.0797
DBTS,48.2792
DCTPD,63.7478
DHDPS,125.0799
G1PACT,147.5702
GART,42.4337
CSND,285.5459
GF6PTA,133.7887
GLUCYS,58.2693
GLUN_num1,131.6133
GLUN_num2,67.0312
GLUPRT,225.9522
GMPR,149.5347
NADS1,61.2737
NTRIR2x,105.4053
OCBT_num1,110.7213
OCBT_num2,110.4814
GARFT,23.2383
GPDDA1,27.4096
GPDDA2,27.4096
PHETA1_num1,87.1467
PHETA1_num2,87.0756
PHETA1_num3,204.5619
PPND,84.085
TRPS1,143.4143
PRAMPC,22.7558
MCITL2,128.5386
DXYLK,105.2365
MDH3,60.2296
SOTA,87.3307
SGSAD,53.0263
PTA2,463.0325
MDH2,60.2296
ACOTA_num1,91.5493
ACOTA_num2,87.3307
ACOTA_num3,87.5339
ACOTA_num4,44.7291
GPDDA5,27.4096
PDX5PS,281.3019
PPBNGS,284.9983
