,fluxes,reduced_costs
EX_melib_e,0.0,136.00195543342184
MACPD,0.0,110.73629855826948
DMQMT,0.0,13678.14860907977
ICHORS_copy1,0.0,56.144430891309284
EX_sucr_e,0.0,0.0
EX_tre_e,0.0,130.31790783952243
EX_zn2_e,0.0,2.0
HACD5_num1,0.0,-1.6301367171658967
DNMPPA,0.0004550833168719543,-1.999999999998403
HPPK2,0.0004550833168719543,-94.55296830761034
PTPATi,0.00045848453747709907,-161.383066980494
HEX7,0.0,-5.0393922369688084
DXPRIi,0.001625103204796271,-23.5390438970162
OPHBDC,0.00015169443895754223,-105.50168206255785
OHPHM,0.0,29093.597550474566
GHMT2r,0.7255267544830019,-2.0743126177039812
DHORD2,0.22502135396843131,-3.506112853962918
ADK4,0.0,14.425417119193128
INSK,0.0,46.93833189114423
ABTA_num1,0.0,-1.8178587188100863
SSALx,0.0,-15.137917659194727
ASPT,0.0,58.723115903676415
SERD_L_num1,0.0,49.14417435893902
THRD_num1,0.0,121.1397305209116
HEX4,0.0,-2.0
KARA1,0.0,195.98957934863438
KARA2,0.1976306441968421,-4.2624943408936815
ACCOAC,1.6416617071868738,-7.619244434780796
NADK,0.00030406912204941215,-147.50195541747894
ICHORS_copy2,0.0,65.23436861151434
SUCBZS,0.0,10.096364287105937
DHBD,0.0,62.5335119381059
ICHORT,0.0,176.39500439043235
RBK_L1,0.0,2.5169372205496074
RBP4E_num1,0.0,9.613186489746887
NTD2_num1,0.0,-9.673335841843306
NTD4_num1,0.0,-5.164249056956402
NTD5_num1,0.0,-0.5817880285976464
NTD6_num1,0.0,-0.9738491266292506
LGTHL,0.0,-11.206534218359849
PYDXPP_num1,0.0,65.5919375383437
PDXPP,0.0,-5.923568820057193
HACD6_num1,0.0,-1.5276856123496145
ECOAH1_num1,0.0,15.429511940179509
ECOAH2_num1,0.0,-6.685917727831111
ECOAH3_num1,0.0,18.81086329027312
UGLT,0.0,49.52223687959419
DXPS,0.0019284920827113553,-102.70096254026677
CDPMEK,0.001625103204796271,-40.971040466629745
MECDPS,0.001625103204796271,-463.3630306072662
DDGLK,0.0,-2.583675650190287
XYLI2,0.0,15.541888081029107
PMANM,0.0,9.424022315539617
ICL,0.0,43.013396938836614
GLYCL,0.003870732005870542,-31.380087511886586
CMPN,0.0,185.6135007482709
HCYSMT,0.0,13521.688973112558
UDPG4E,0.0,25.515396495385403
LACZ,0.0,-12.797808130108628
TRE6PH,0.0,2.2548357484602093
XYLI1,0.0,4.543040391382803
PPC,2.013370903383141,-2.3248964451149607
ALDD4,0.0,-2.0
G3PT_num1,0.0,52.39663361911893
CINNDO,0.0,-12.84455008527857
DHPPD,0.0,-7.021571733463588
DHCIND,0.0,-7.643827828618214
CITL,0.0,46.05527847038098
GOFUCR,0.0,-23.267071733004286
PYDXK_num1,0.0,-21.559603946996504
GTPCII2,0.00030338887791508446,-300.1004072489949
URIC,0.0,-2.0000000000000036
SADT2,0.1683481755250694,-12.103158407001217
LCARS,0.0,31.048052426802997
ALCD19_num1,0.0,-8.229492969260264
RMPA,0.0,39.299670860437345
SBTPD,0.0,-22.087570125000184
PFK_2,0.0,-16.304469086366964
GLTPD,0.0,-11.831497068824774
TGBPA_num1,0.0,-0.4462040986630029
MANAO,0.0,10.474105248519436
TAGURr,0.0,14.267508085777763
PGLYCP,0.0,-9.625914538057911
GLXCL,0.0,65.25524378795413
TARTD,0.0,-10.114979622618083
GLCRAL,0.0,-21.563818274401626
KAS14_num1,0.0,-28.841337045671025
EDTXS1,0.0,-10.226368917152286
EDTXS2,0.0,-6.858121970668435
EDTXS3,0.0,-8.277481151744723
EDTXS4,0.0,12125.526851541363
EX_tmao_e,0.0,0.0
NNDPR,0.001549596107391403,-118.67665419664293
HACD4_num1,0.0,-1.6142415854742467
HACD7_num1,0.0,-8.613764941930867
AACPS1,0.0,-30.326949733778292
SDPDS,0.2523358763984813,-2.1579613752830014
DMSOR1_num1,0.0,5.216636337136151
DKGLCNR2y,0.0,-14.192909781784692
2DGULRy,0.0,-12.670844395525364
RZ5PP,0.0,-6.8378246690927265
NTD9_num1,0.0,37.86363287098415
NTD10,0.0,138.76539138752963
ADPT,0.0004578042933560617,-13.57725774680292
ADK1,1.7084453539989934,-2.6232084517465637
OCTDPS,0.00015169443895754223,-194.30971124871667
EX_26dap__M_e,0.0,323.25449470001206
EX_acnam_e,0.0,461.845288834859
EX_amp_e,0.0,696.7297701803097
EX_dha_e,0.0,16.841824793146145
EX_fuc__L_e,0.0,39.902166075234945
EX_glyald_e,0.0,1.2917960227267855
AACPS2,0.0,79.2669601645257
AACPS3,0.0,-14.654278059027547
AACPS4,0.0,41.273475608782064
EX_rmn_e,0.0,-2.0
EX_ttdca_e,0.0,1538.730491571345
AMANK,0.0,-6.61523969449803
EX_glyclt_e,0.0,12.78739004588715
EX_g6p_e,0.0,87.48103356901947
