,MW,kcat,kcat_MW
EAR140x,111.4558,18506.4541092,166.04298842411072
EAR40y,111.4558,15779.791998,141.57892185063497
3OAS181,86.0915,13204.1568168,153.37352487527804
EAR161y,111.4558,9387.6263424,84.22734700571885
G3PAT140,100.021,21089.5306344,210.8510276281981
G3PAT160,100.021,19657.2440628,196.53116908249268
G3PAT161,100.021,21670.1208612,216.6557109127084
AGPAT160,27.4532,489600.0,17833.986566229076
CDAPPA140,28.4508,9300.2299272,326.8881693027964
MLDCP1App_num1,36.0824,12050.7639372,333.97900187348955
MLDCP1App_num2,34.4111,12050.7639372,350.19990460055044
MLDCP1App_num3,67.8125,12050.7639372,177.70711796792625
MLDCP1App_num4,34.6359,12050.7639372,347.9269756870761
MLDCP1App_num5,33.3253,12050.7639372,361.6100661419402
EAR160y,111.4558,9300.0347244,83.44146042108173
EAR100y,111.4558,9300.0306492,83.44142385770861
3OAR141,102.2412,9300.0344184,90.96171033203834
3OAR161,102.2412,9300.0559212,90.96192064647128
3HAD141_num1,37.9381,9300.023711999998,245.13678101960824
3HAD141_num2,102.1977,9300.023711999998,91.00032302096815
EAR121x,111.4558,14092.4000736,126.43936047832416
PSD140,35.9344,23485.3458912,653.5616537690904
MICITDr,186.9962,24735.8522376,132.27997273527484
CDAPPA181,28.4508,32332.5931716,1136.4388056434266
PGSA140,20.7006,9537.6243744,460.74144587113415
LPLIPAL1A141pp,94.4886,10375.3539324,109.80535146462113
LPLIPAL1A180pp,94.4886,9300.0460536,98.42505925159224
LPLIPAL1E140pp,94.4886,9607.4601552,101.67851100767712
LPLIPAL1E161pp,94.4886,13796.9729244,146.017328274522
LPLIPAL1G140pp,94.4886,9300.0393576,98.42498838590052
ACONTa_num1,186.9962,77882.093748,416.4902481868616
ACONTa_num2,195.3544,77882.093748,398.6707939416773
MLDCP2App_num1,67.8125,61771.372884,910.914254510599
MLDCP2App_num2,36.0824,61771.372884,1711.9529988027402
MLDCP2App_num3,34.6359,61771.372884,1783.449336786398
MLDCP2App_num4,33.3253,61771.372884,1853.5879012041903
MLDCP2App_num5,34.4111,61771.372884,1795.10021138528
PGPP120pp_num1,19.4181,39502.055772,2034.290469819396
PGPP120pp_num2,29.0213,39502.055772,1361.1401202565012
PGPP181pp_num1,19.4181,9508.8305196,489.6890282571416
PGPP181pp_num2,29.0213,9508.8305196,327.65005425670114
PGSA181,20.7006,9766.9983312,471.8219921741398
PGPP140_num1,19.4181,9921.2145372,510.92612239096513
PGPP140_num2,29.0213,9921.2145372,341.8597560136865
PGPP141_num1,19.4181,9300.0627792,478.937835277396
PGPP141_num2,29.0213,9300.0627792,320.4564502348276
MDDCP5pp_num1,47.7524,152010.895932,3183.3142613146147
MDDCP5pp_num2,87.2178,152010.895932,1742.8884463033924
MDDCP5pp_num3,88.8879,152010.895932,1710.1416045603507
MDDCP5pp_num4,51.7983,152010.895932,2934.6695920908605
MDDCP5pp_num5,43.3461,152010.895932,3506.910562472749
MDDCP5pp_num6,41.849,152010.895932,3632.366267581066
MLTGY3pp_num1,49.4175,26411.4499608,534.4554046805282
MLTGY3pp_num2,40.1125,26411.4499608,658.4344022636336
MLTGY3pp_num3,40.2558,26411.4499608,656.0905499530503
MLTGY3pp_num4,73.3532,26411.4499608,360.0585926830732
MLTGY3pp_num5,40.4106,26411.4499608,653.5772782586747
MLTGY3pp_num6,22.2266,26411.4499608,1188.2811568481009
MLTGY3pp_num7,58.3022,26411.4499608,453.00949125075897
MLTGY3pp_num8,38.2474,26411.4499608,690.5423626390291
G3PAT180,100.021,9300.0617244,92.98109121484488
AGPAT140,27.4532,11008.2869352,400.9837445252284
PGSA160,20.7006,10557.8069256,510.024198602939
MLDCP2Bpp_num1,36.0824,71515.31565599999,1981.999968294792
MLDCP2Bpp_num2,33.3253,71515.31565599999,2145.9766500526625
MLDCP2Bpp_num3,34.6359,71515.31565599999,2064.774284947121
MLDCP2Bpp_num4,34.4111,71515.31565599999,2078.262992348399
MLDCP2Bpp_num5,67.8125,71515.31565599999,1054.6037331760367
3OAS140_num1,85.2266,15220.884294,178.59311874461727
3OAS140_num2,86.0915,15220.884294,176.79892084584424
3OAR140,102.2412,4680.0,45.77411063250431
3OAR160,102.2412,9300.0309588,90.96167649440734
PGSA161,20.7006,23465.3253948,1133.5577420364627
3HAD181_num1,37.9381,16748.6225976,441.4723614941181
3HAD181_num2,102.1977,16748.6225976,163.88453553847103
PGPP160_num1,19.4181,9509.7503232,489.7363966196487
PGPP160_num2,29.0213,9509.7503232,327.6817483434581
PGPP180_num1,19.4181,17375.9762196,894.8340063960944
PGPP180_num2,29.0213,17375.9762196,598.7318355690476
PGPP161_num1,19.4181,9547.694856,491.6904772351569
PGPP161_num2,29.0213,9547.694856,328.9892201934441
PGPP181_num1,29.0213,17233.9796916,593.8389972744158
PGPP181_num2,19.4181,17233.9796916,887.5214203037374
CDAPPA180,28.4508,63141.679224,2219.3287789447045
NTP12,36.4253,9852.6619836,270.48952194216656
PSD141,35.9344,26441.0370432,735.8140679460352
PAPA181pp,29.0213,9300.0757572,320.45689742361645
MDDCP4pp_num1,47.7524,11770.5292128,246.49084051901056
MDDCP4pp_num2,87.2178,11770.5292128,134.95558490124722
MDDCP4pp_num3,88.8879,11770.5292128,132.4199268156858
MDDCP4pp_num4,51.7983,11770.5292128,227.2377512929961
MDDCP4pp_num5,43.3461,11770.5292128,271.5475951192841
MDDCP4pp_num6,41.849,11770.5292128,281.2618990370141
CLPNS140pp_num1,54.8223,10794.7585584,196.90451802277545
CLPNS140pp_num2,47.6335,10794.7585584,226.6211502073121
CLPNS141pp_num1,54.8223,32295.0781188,589.0865235278344
CLPNS141pp_num2,47.6335,32295.0781188,677.9908702656743
CFAS160E,87.818,52560.319608,598.5141953585825
CFAS180E,87.818,1612231.50132,18358.781813751168
CFAS180G,87.818,107777.63232,1227.2840684142204
PAPA160,29.0213,16190.8133364,557.8941445214377
PAPA180,29.0213,15173.4659004,522.838945891466
PAPA181,29.0213,19467.096804,670.7865190050067
PETNT161pp,63.8044,23599.6242228,369.8745575979086
PSSA160,52.8018,54000.0,1022.6924082133564
PSSA181,52.8018,18305.117604,346.67601490858266
DAGK140,39.734,9418.9726152,237.0507025519706
DAGK160,39.734,9418.9961376,237.0512945487492
DAGK141,39.734,9300.3068412,234.0641979463432
DAGK161,39.734,18097.7675436,455.4730846026073
AGPAT181,27.4532,71164.947312,2592.227766234902
MDDEP3pp_num1,29.9166,33111.5862024,1106.7964341669842
MDDEP3pp_num2,21.0399,33111.5862024,1573.7520711790455
MDDEP3pp_num3,60.2733,33111.5862024,549.3574468695094
MDDEP3pp_num4,51.7983,33111.5862024,639.240789801982
MDDEP3pp_num5,33.8874,33111.5862024,977.1061280121816
MDDEP3pp_num6,41.849,33111.5862024,791.2157089153864
MDDEP3pp_num7,49.0578,33111.5862024,674.9504911023324
MDDEP4pp_num1,29.9166,26327.999934000003,880.0465271454646
MDDEP4pp_num2,41.849,26327.999934000003,629.1189737867095
MDDEP4pp_num3,60.2733,26327.999934000003,436.8103278566132
MDDEP4pp_num4,51.7983,26327.999934000003,508.2792279669411
MDDEP4pp_num5,33.8874,26327.999934000003,776.9259351263303
MDDEP4pp_num6,21.0399,26327.999934000003,1251.3367427601845
MDDEP4pp_num7,49.0578,26327.999934000003,536.6730659344692
MLTGY1pp_num1,49.4175,31677.5598588,641.019069333738
MLTGY1pp_num2,22.2266,31677.5598588,1425.2094273888042
MLTGY1pp_num3,40.4106,31677.5598588,783.8923415836438
MLTGY1pp_num4,40.1125,31677.5598588,789.7179148345278
MLTGY1pp_num5,73.3532,31677.5598588,431.8497333286073
MLTGY1pp_num6,40.2558,31677.5598588,786.9067279447929
MLTGY1pp_num7,58.3022,31677.5598588,543.3338683411603
MLTGY1pp_num8,38.2474,31677.5598588,828.2277974136803
3HAD40_num1,37.9381,13622.6095704,359.0746392254752
3HAD40_num2,102.1977,13622.6095704,133.29663554463554
PLIPA1E141pp,66.3263,9300.0405672,140.21648376586663
3OAS60_num1,86.0915,14210.8263144,165.06654332193074
3OAS60_num2,85.2266,14210.8263144,166.74167823660687
3OAS160_num1,85.2266,9300.0488508,109.12143451457642
3OAS160_num2,86.0915,9300.0488508,108.02516916071856
3OAR60,102.2412,14676.6233088,143.5490126172228
3OAR80,102.2412,9300.0336192,90.96170251522868
MLDCP3App_num1,36.0824,11472.2901036,317.9469797907013
MLDCP3App_num2,34.4111,11472.2901036,333.3892291615206
MLDCP3App_num3,67.8125,11472.2901036,169.1766282558525
MLDCP3App_num4,34.6359,11472.2901036,331.22540784561687
MLDCP3App_num5,33.3253,11472.2901036,344.25166775993017
MLDCP1Bpp_num1,36.0824,38207.635488,1058.899504689267
MLDCP1Bpp_num2,34.4111,38207.635488,1110.3288034384254
MLDCP1Bpp_num3,67.8125,38207.635488,563.4305694082949
MLDCP1Bpp_num4,34.6359,38207.635488,1103.1223524724346
MLDCP1Bpp_num5,33.3253,38207.635488,1146.5053724347567
PLIPA1G160pp,66.3263,9331.0831332,140.6845117728563
PLIPA1G141pp,66.3263,9300.0553632,140.21670684479608
LPLIPAL2E160,38.9783,22686.5367252,582.0299172924423
LPLIPAL2G140,38.9783,16311.887172,418.48636733772383
