,kcat,data_type,MW,kcat_MW
G16MTM9,5403.507963854259,fill,94203.5970000001,206495.60408903824
GTHOr,233.7,Other_species,99890.2992000002,8422.439483492892
GTHRDt2_1,5403.507963854259,fill,580148.2464000015,33530.4446589038
GTMLT,116.68910714285714,Other_species,254268.53500000096,1652.1147050864322
FASm1601_num1,5403.507963854259,fill,107048.18660000026,181718.43249024532
G1PTT,7.6,Database,125966.47319999998,217.20065113325728
G1SAT,0.51,Other_species,95030.73340000033,19.320065565231065
G3PAT160_num1,0.029745,Other_species,88313.93050000041,1.2125153913288855
GTPCI,7.2103725,Other_species,223944.2490000001,115.90983521974698
GTPCII_num1,5403.507963854259,fill,92033.56800000006,211364.49550532823
GTPCII2_num1,0.00415,Database,92033.56800000006,0.16233207431445004
GTPDPK,4.511875,Database,245476.9632000011,66.1681234290254
G3PAT190_num1,5403.507963854259,fill,88313.93050000041,220266.82041827185
GTPH1,521.5726032680392,Other_species,245476.9632000011,7649.032916523111
FASm180_num1,5403.507963854259,fill,107048.18660000026,181718.43249024532
GUACYC,389.699278126875,Other_species,80262.82260000035,17479.04391860677
GUAPRT,0.5178166666666667,Database,44501.80580000001,41.88908666713026
FASm1801_num1,5403.507963854259,fill,107048.18660000026,181718.43249024532
G6PDH2r_num1,895.9019057142857,Other_species,57342.25000000016,56245.55821530232
GALFT,5403.507963854259,fill,319886.3046000009,60811.070652742404
H2CO3D_num1,5403.507963854259,fill,80564.69030000032,241453.5275620026
GALKr,23.971307142857142,Other_species,75143.95560000018,1148.4184592790523
FASm2001_num1,5403.507963854259,fill,107048.18660000026,181718.43249024532
GALT_num1,263.91257777777776,Other_species,41488.84499999999,22899.776554396736
GALUi,74.235,Database,64755.55080000001,4126.997557713616
GALt2,5403.507963854259,fill,53042.521200000105,366736.5017686092
GAPD,125.234,Other_species,143821.82960000008,3134.728582259669
GARFT,6.3756,Other_species,44830.91779999999,511.9716732634014
FASm2002_num1,5403.507963854259,fill,107048.18660000026,181718.43249024532
HCO3E_num1,410000.0,Database,87165.9464,16933218.31471562
GCCa,0.8862036363636364,Other_species,99509.73060000081,32.06051379772367
GCCb,15.391666666666666,Other_species,52554.533599999995,1054.3333981751862
GCCc,136.75,Database,205953.55440000037,2390.3447621198184
HCYSMT,249.949375,Other_species,31592.457000000006,28482.04398917121
FASm220,5403.507963854259,fill,448754.4133999967,43348.0498219329
HEX1_num1,65.80952285714285,Database,27428.720600000015,8637.452899852506
GF6PTA,12.19958375,Other_species,135141.8626000004,324.9807325061973
FASm2201,5403.507963854259,fill,448754.4133999967,43348.0498219329
GFUCS,0.75,Other_species,69073.60120000006,39.08873944739394
HISTD,1.1361666666666665,Database,91880.79100000023,44.5163777486416
HISTP,0.99,Database,45538.64200000001,78.26320336912988
FASm2202,5403.507963854259,fill,448754.4133999967,43348.0498219329
GHMT2r_num1,34.82536217391304,Other_species,92430.3592000002,1356.3866343395828
FASm240,5403.507963854259,fill,448754.4133999967,43348.0498219329
GK1,272.12,Other_species,22094.994699999996,44337.28151109265
FASm2401,5403.507963854259,fill,448754.4133999967,43348.0498219329
HMBS,0.25,Other_species,31938.015500000005,28.17958429508558
FASm2402,5403.507963854259,fill,448754.4133999967,43348.0498219329
HMPK1,0.2401111111111111,Other_species,57128.9012,15.130695354595758
HMPK2,5403.507963854259,fill,57128.9012,340504.1627139738
GLGC,104.63045454545454,Other_species,43799.85030000005,8599.79277974007
GLNS_num1,127.194,Other_species,53569.33280000001,8547.771197926884
GLNSP1,127.194,Other_species,641310.1124000009,714.0046463424508
HMPK3,5403.507963854259,fill,57128.9012,340504.1627139738
FASm260,5403.507963854259,fill,448754.4133999967,43348.0498219329
HMPK4,5403.507963854259,fill,57128.9012,340504.1627139738
HOPNTAL_num1,0.395,Database,72593.39980000013,19.588557691439014
HPPK,5403.507963854259,fill,41462.630799999984,469160.501746921
HPPK2,499.585,Other_species,41462.630799999984,43376.552941739545
GLNSP2,127.194,Other_species,641310.1124000009,714.0046463424508
GLNSP3,127.194,Other_species,641310.1124000009,714.0046463424508
GLU5K,12.25,Other_species,38787.85230000007,1136.9539014151583
GLUCYS,1451.5185,Other_species,91589.29760000017,57053.244614029994
GLUDC,13.993013157910527,Other_species,101558.36140000018,496.0187095779374
GLUDxi,1266.7105555555556,Other_species,176897.9958,25778.46051549217
HSDy,5.5875,Other_species,45552.17940000011,441.58150641635274
FASm2601,5403.507963854259,fill,448754.4133999967,43348.0498219329
HSERTA,0.8935,Other_species,79536.5562,40.44178115924008
HSK,10.715428571428571,Other_species,64691.99920000008,596.2954203638649
FASm2602,5403.507963854259,fill,448754.4133999967,43348.0498219329
HSTPT_num1,1248.6666666666667,Database,38039.037000000106,118173.33861527534
IMPC,4.6209999999999996,Other_species,220102.14400000067,75.58127193890464
FASm280,5403.507963854259,fill,448754.4133999967,43348.0498219329
IMPD,1.1725,Database,697160.3786000016,6.054560944034679
HXPRT,0.5178166666666667,Database,44501.80580000001,41.88908666713026
ICDHyr_num1,16.592,Database,91026.48640000008,656.1958212637321
ICHORS,10.242083333333333,Other_species,77874.58520000012,473.47282692171495
FASm2801,5403.507963854259,fill,448754.4133999967,43348.0498219329
ICL_num1,5.638888888888888,Database,188344.12600000043,107.78143407562365
INDPYRD,75.34825,Other_species,239129.61960000073,1134.3375214401888
INSH,19.48,Other_species,65938.57720000007,1063.535231997695
FASm2802,5403.507963854259,fill,448754.4133999967,43348.0498219329
IPDDI,2151.6445714285715,Other_species,44978.77659999997,172212.786622188
IGAMD,5403.507963854259,fill,63483.8098,306418.7346531199
FASm300,5403.507963854259,fill,448754.4133999967,43348.0498219329
IGPDH,1000.0,Database,45538.64200000001,79053.74077689886
IPDPS,2.64,Other_species,34665.88870000005,274.1599986732775
IPMD,47.95325,Other_species,70611.27440000017,2444.8177924402335
IPPMIa,3.2,Other_species,71964.00370000016,160.08003178955946
IPPMIb,3.2,Other_species,71964.00370000016,160.08003178955946
IPPS,2.584911764705882,Database,140225.57820000054,66.36223200070313
IGPS,0.16,Database,56045.56899999999,10.277351274638681
ILETA,9917.714610656676,Brenda_SA,79331.13940000007,450060.00000000006
KARA1,4.45,Database,73068.38800000002,219.24665971829015
KARA2,4.45,Database,73068.38800000002,219.24665971829015
FASm3001,5403.507963854259,fill,448754.4133999967,43348.0498219329
MI1PS,2.03814,Other_species,80186.21600000004,91.50330775054898
FASm320,5403.507963854259,fill,448754.4133999967,43348.0498219329
MI3PP_num1,3.6,Database,111914.32439999992,115.80287036071326
FASm340,5403.507963854259,fill,448754.4133999967,43348.0498219329
MMCD,2263.386172033338,Brenda_SA,56679.119500000124,143759.99999999997
Kt1,5403.507963854259,fill,48186.338199999984,403695.9311814928
FBA,21.033333333333335,Database,73088.09580000004,1036.0100255888724
FBP_num1,2.1,Database,38083.632100000024,198.5104776810402
LCTSabc,5403.507963854259,fill,245299.7009000004,79301.47732958487
LDH_L,771.7073888888889,Other_species,84321.50160000013,32947.0721854412
MME_num1,2205.0,Other_species,76116.24980000008,104287.8494520889
MMM2,134.3590909090909,Other_species,145346.71320000084,3327.854594187854
FCLPA,12.986666666666666,Other_species,23066.04099999999,2026.8757867897668
MMSAD1,1.4538333333333333,Other_species,108906.4484000002,48.05776037041339
MMSAD2,5.612,Other_species,32008.132399999988,631.1895910553035
LEUTA,9917.714610656676,Brenda_SA,79331.13940000007,450060.00000000006
FCLT2,5403.507963854259,fill,37143.51290000004,523715.3718402147
MOHMT,0.781,Database,293360.1239999998,9.58412466446872
LPLIPAL2E160,1034.85,Other_species,30261.17530000001,123110.22169717243
LPLIPAL2E180_num1,1034.85,Other_species,30261.17530000001,123110.22169717243
LYSt5r,5403.507963854259,fill,99892.32000000017,194735.97840029444
L_LACD_num1,5403.507963854259,fill,45341.03080000002,429029.25510628935
MPML_num1,0.0111875,Other_species,133972.5328000007,0.30062132258202545
MSHAMID,5403.507963854259,fill,32731.379900000014,594311.2917728019
MSHS,5403.507963854259,fill,33598.7006,578969.6721150976
L_LACD2,137.01683783783784,Other_species,45341.03080000002,10878.901681613643
L_LACD3,137.01683783783784,Other_species,45341.03080000002,10878.901681613643
MTAN,0.16566666666666666,Database,109357.0572,5.453694670196374
Mn2t,5403.507963854259,fill,90007.60700000012,216122.0514381113
MTHFC,9.484857142857143,Other_species,58966.83899999999,579.0625085785202
MTHFD,94.9512,Other_species,58966.83899999999,5796.890689697646
MTI,105.25666666666666,Other_species,68592.16260000019,5524.304609109948
MYC1CYC1,5403.507963854259,fill,66054.63120000009,294493.032759152
L_LACt2r,5403.507963854259,fill,42910.33850000009,453331.978955964
L_LACt3,5403.507963854259,fill,42910.33850000009,453331.978955964
MALS,23.0,Database,160804.1212000007,514.9121762682762
MALT,207.29066666666668,Other_species,120885.7358000004,6173.15512919265
MYC1CYC2,5403.507963854259,fill,66054.63120000009,294493.032759152
NDPK7,132.0795,Database,87044.08559999985,5462.590556526001
MYC1CYC3,5403.507963854259,fill,66054.63120000009,294493.032759152
MYC1CYC4_num1,5403.507963854259,fill,69319.40500000003,280623.1338811307
MYC1CYC5,5403.507963854259,fill,65447.87640000001,297223.22159066005
MYC1M1_num1,5403.507963854259,fill,65447.87640000001,297223.22159066005
MYC1M2_num1,5403.507963854259,fill,65447.87640000001,297223.22159066005
