reactions,metabolites,metabolitestotal,gpr,genes
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS11900
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS04735
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS06400
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS11905
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS11800
PSIum,p700_exc_um,p700,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS09705
PSIum,pcrd_u,pcrd_u,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS02720
PSIum,pcrd_u,pcrd_u,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS06405
PSIum,pcrd_u,pcrd_u,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS05140
PSIum,pcrd_u,pcrd_u,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS06760
PSIum,pcrd_u,pcrd_u,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS03350
