,gpr,ec
DDCAtexi,b2344,
TTDCAtexi,b2344,
HDCAtexi,b2344,
GUACYC,,"['4.6.1.1', '4.6.1.2']"
23PDE2pp,b4213,3.1.4.16
23PDE4pp,b4213,3.1.4.16
23PDE9pp,b4213,3.1.4.16
ATPHs,s0001,"['3.5.4.17', '3.5.4.18']"
SARCOX,b1059,1.5.3.1
GTPHs,s0001,
MN6PP,b3697 or b0822 or b1727 or b3826,
3KGK,b3580,2.7.1.53
F6PP,b2293 or b3697 or b0822 or b2690 or b3826,
GDPMNH,b2051,
FACOAL60t2pp,b1805 or b1701,
IDONt2rpp,b4265,3.6.3.-
ILEabcpp,b3457 and b3455 and b3456 and b3460 and b3454,
INDOLEt2pp,b3265 and b3266 and b3035,
INSt2pp,b2406 or b2964 or b2393,
LYXt2pp,b3907,
GDPDPK,b2784 or b3650,2.7.6.5
OCDCAtexi,b2344,
OCDCEAtexi,b2344,
G6Ptex,b1377 or b0241 or b0929 or b2215,
TUNGSabcpp,b0765 and b0764 and b0763,3.6.3.55
MOBDabcpp,( b2424 and b2422 and b2423 and b3917 ) or ( b0765 and b0764 and b0763 ) or ( b2423 and b2425 and b2422 and b2424 ),3.6.3.29
MOBDtex,b1377 or b0241 or b0929 or b2215,
NI2uabcpp,( b3477 and b3476 and b3480 and b3479 and b3478 ) or b4242,3.6.3.24
NI2tex,b1377 or b0241 or b0929 or b2215,
R15BPK,b4094,2.7.4.23
Kabcpp,( b0697 and b0698 and b0696 ) or ( b0697 and b0698 and b0696 and b4513 ),"['3.6.3.10', '3.6.3.12']"
LEUabcpp,( b3454 and b3460 and b3455 and b3457 and b3456 ) or ( b3457 and b3456 and b3458 and b3455 and b3454 ),
L_LACt2rpp,b3603 or b2975,
MALt2_2pp,b3528,
MALt2_3pp,b4123 or b4138,
MALTabcpp,b4032 and b4033 and b4035 and b4034,3.6.3.19
MALTHXabcpp,b4033 and b4034 and b4032 and b4035,
MALTPTabcpp,b4033 and b4035 and b4032 and b4034,
MALTTRabcpp,b4033 and b4034 and b4035 and b4032,3.6.3.-
MALTTTRabcpp,b4034 and b4033 and b4032 and b4035,3.6.3.-
MAN6Pt6_2pp,b3666,
MANGLYCptspp,b0731 and b2415 and b2416,
MELIBt2pp,b4120 or b0343,
METabcpp,b0197 and b0198 and b0199,
GGPTRCS,b1297,6.3.1.11
RMNtpp,b3907,
SERt4pp,b3089,
SUCCt2_3pp,b4123 or b4138,
MNLptspp,( b2933 and b2415 and b2934 and b2416 ) or ( b3599 and b2415 and b2416 ) or ( b2703 and b2704 and b2415 and b2702 and b2416 ),
NAt3_1p5pp,b1186,
NAt3_2pp,b0019,
NH4tpp,s0001 or b0451,
NMNPtpp,b0751,
NO2t2rpp,b1223 or b3367,
NO3t7pp,b1223 or b1469,
ORNabcpp,b2306 and b2307 and b2308 and b2310,3.6.3.21
PIuabcpp,b3728 and b3725 and b3727 and b3726,3.6.3.27
PNTOt4pp,b3258,
FRULYSDG,b3371,
METDabcpp,b0199 and b0198 and b0197,
PROabcpp,b2678 and b2677 and b2679,
PROt2rpp,b4111 or b0402,
PROt4pp,b1015,
PTRCabcpp,( b1441 and b1440 and b1442 and b1443 ) or ( b0857 and b0854 and b0855 and b0856 ) or ( b1124 and b1125 and b1126 and b1123 ),3.6.3.31
ASNNpp,b2957,"['3.5.1.1', '3.5.1.38', '3.5.5.4']"
GLUNpp,b2957,"['1.4.1.13', '1.4.7.1', '3.5.1.2', '3.5.1.38', '4.3.3.6', '6.3.4.2', '6.3.5.2', '6.3.5.4', '6.3.5.5']"
NTD12,b3399 or b2744 or b2291 or b2361,
FECRMtonex,b3006 and b1252 and b3005 and b0150,
ADOCBLabcpp,b0158 and b1709 and b1711,
CRNabcpp,b2677 and b2679 and b2678,
CRNDabcpp,b2677 and b2679 and b2678,
DNTPPA,b1865 or b0099,3.6.1.67
CTBTabcpp,b2677 and b2678 and b2679,
NTPP9,b2954,"['3.6.1.-', '3.6.1.8', '3.6.1.9']"
NTPP10,b2954,"['3.6.1.-', '3.6.1.66']"
NTPP11,b2954,"['3.6.1.-', '3.6.1.66']"
NTD10pp,b4055 or b0480,3.1.3.5
NTD1pp,b0480 or b4055,"['3.1.3.5', '3.1.3.89']"
NTD2pp,b0480 or b4055 or b0383,3.1.3.5
NTD3pp,b0480 or b4055,"['3.1.3.5', '3.1.3.89']"
NTD4pp,b4055 or b0480 or b0383,"['3.1.3.5', '3.1.3.91']"
NTD5pp,b4055 or b0480,"['3.1.3.35', '3.1.3.5', '3.1.3.89']"
NTD6pp,b0480 or b4055,"['3.1.3.5', '3.1.3.89']"
NTD7pp,b4055 or b0480 or b0383,3.1.3.5
NTD9pp,b4055 or b0480 or b0383,3.1.3.5
PEAMNOpp,b1386,"['1.4.3.21', '1.4.3.4', '1.4.3.6']"
GAL1PPpp,b1002,3.1.3.94
H2O2tex,b1377 or b0241 or b0929 or b2215,
ARGDCpp,b2938,4.1.1.19
ALLPI,b4090,5.3.1.6
ALLK,b4084,2.7.1.55
ALLULPE,b4085,5.1.3.-
ADEtex,b1377 or b0241 or b0929 or b2215,
ADNtex,b0411,
AGMtex,b1377 or b0241 or b0929 or b2215,
ALAtex,b2215 or b0241 or b1377 or b0929,
BALAtex,b1377 or b0241 or b0929 or b2215,
DALAtex,b1377 or b0241 or b0929 or b2215,
AMPtex,b0929 or b2215 or b0241 or b1377,
ARBtex,b1377 or b0241 or b0929 or b2215,
ARGtex,b1377 or b0241 or b0929 or b2215,
ASCBtex,b1377 or b0241 or b0929 or b2215,
FACOAL100t2pp,b1805 or b1701,
RIBabcpp,( b3749 and b3750 and b3751 and b3748 ) or ( b4485 and b4230 and b4227 and b4231 ) or ( b4086 and b4088 and b4087 ),3.6.3.17
GPDDA3pp,b2239,3.1.4.46
GPDDA4pp,b2239,3.1.4.46
GPDDA2pp,b2239,"['3.1.4.2', '3.1.4.46']"
FACOAL120t2pp,b1701 or b1805,
FACOAL140t2pp,b1701 or b1805,
FE3HOXtonex,b3006 and b1252 and b3005 and b0150,
CU2abcpp,b3469,"['3.6.3.-', '3.6.3.4']"
COBALT2abcpp,b3469,
NI2abcpp,b3469,3.6.3.24
MG2uabcpp,b4242,3.6.3.2
HCYSMT2,b0261,2.1.1.10
MMETtex,b1377 or b0241 or b0929 or b2215,
FE3tex,b1377 or b0241 or b0929 or b2215,
MG2tex,b1377 or b0241 or b0929 or b2215,
Zn2tex,b1377 or b0241 or b0929 or b2215,
MMETt2pp,b0260,
CD2tex,b1377 or b0241 or b0929 or b2215,
GLNabcpp,b0809 and b0811 and b0810,3.6.3.21
GLUabcpp,b0654 and b0653 and b0655 and b0652,3.6.3.21
GLUABUTt7pp,b1492,
GLUt2rpp,b4077,
GLUt4pp,b3653,
GLYALDtpp,b3927,
ACGK,b3959,2.7.2.8
LCTSt3ipp,b2170 or b1528 or b0070,
ARBt3ipp,b1528,
14GLUCANabcpp,b4035 and b4032 and b4034 and b4033,
14GLUCANtexi,b4036,2.4.1.161
DHPTPE,b2303,"['5.1.99.7', '5.1.99.d']"
NADPHQR2,b3028,
NADPHQR3,b3028,
NADPHQR4,b3028,
GLBRAN2,b3432,2.4.1.18
ASR,b1064 and b3503,1.20.4.1
ASO3tex,b1377 or b0241 or b0929 or b2215,
MANGLYCtex,b1377 or b0241 or b0929 or b2215,
METOX1s,s0001,
METOX2s,s0001,
FRUURt2rpp,b4321,
FRUURtex,b1377 or b0241 or b0929 or b2215,
ECAtpp,b3792,
O16AT,b2033,
O16GALFT,b2034,
O16AUNDtpp,b2037,
O16AP1pp,b2027 and b2035,
GLYCAt2rpp,b3127 or b2789,
GLYCAtex,b1377 or b0241 or b0929 or b2215,
AGM4PCP,b1192,
4PCP,b1192,
4PCPpp,b2175,
FALDH2,b0356,"['1.1.1.-', '1.1.1.284']"
GLYBabcpp,( b2130 and b2131 and b2129 and b2128 ) or ( b2679 and b2677 and b2678 ),
GLYC3Pt6pp,b2240,
GLYCLTt4pp,b4067,
GLYCtpp,s0001 or b3927,
H2Otpp,s0001 or b0875,
HCINNMt2rpp,b0353,
HISabcpp,b2308 and b2307 and b2306 and b2309,3.6.3.21
HISt2rpp,b0112,
CBIAT,b1270,2.5.1.17
LYSabcpp,b2310 and b2308 and b2306 and b2307,3.6.3.21
COBALT2tex,b1377 or b0241 or b0929 or b2215,
PPDOy,b0325,1.1.1.-
FALGTHLs,s0001,4.4.1.22
NTD12pp,b0480 or b4055,
PPA2,b2502 or b2744,3.6.1.25
DIMPtex,b1377 or b0241 or b0929 or b2215,
3NTD7pp,b4213 or b0383,3.1.3.6
3NTD4pp,b0383 or b4213 or b2744,3.1.3.6
3NTD2pp,b4213 or b0383,3.1.3.6
3NTD9pp,b4213 or b0383,3.1.3.6
23PDE7pp,b4213,3.1.4.16
GALTptspp,b2093 and b2415 and b2092 and b2094 and b2416,
GALURt2rpp,b3093,
GLCNt2rpp,b3415 or b4321 or b4476 or b4265,
GLCptspp,( b2415 and b1101 and b2416 and b2417 ) or ( b2417 and b1621 and b2415 and b2416 ) or ( b1817 and b2415 and b1819 and b1818 and b2416 ),
GLCRt2rpp,b3127 or b2789,
GLCt2pp,b2943,
GLCURt2rpp,b3909 or b3093,
ACMUMptspp,b2415 and b2417 and b2416 and b2429,
HSTPT,b2021,2.6.1.9
THDPS,b0166,2.3.1.117
ACONMT,b1519,2.1.1.144
XTSNtex,b1377 or b0241 or b0929 or b2215,
GNK,b3437 or b4268,2.7.1.12
HMBS,b3805,"['2.5.1.61', '4.3.1.8']"
RMK,b3904,2.7.1.5
FHL,( b4079 and b2481 and b2488 and b2486 and b2482 and b2487 and b2489 and b2485 and b2483 and b2490 and b2484 ) or ( b4079 and b2719 and b2720 and b2723 and b2722 and b2724 and b2721 ),
HYPOE,,3.1.3.74
MEPCT,b2747,2.7.7.60
GLUDy,b1761,"['1.4.1.13', '1.4.1.3', '1.4.1.4']"
ZN2abcpp,b3469,3.6.3.5
GLYCLTDy,b1033 or b3553,1.1.1.79
LYSDC,b0186 or b4131,4.1.1.18
DAAD,b1189,1.4.99.1
UREAtpp,b3927,
XANt2pp,b3654 or b2882 or b2888,
GLYC3Pabcpp,b3453 and b3452 and b3451 and b3450,3.6.3.20
PPPNt2rpp,b2536,
PTRCORNt7pp,b0692,
SPMDabcpp,( b1124 and b1123 and b1125 and b1126 ) or ( b1441 and b1443 and b1442 and b1440 ),3.6.3.31
HG2tex,b1377 or b0241 or b0929 or b2215,
NTPP5,b1865 or b2781,"['3.6.1.19', '3.6.1.9']"
ATPM,,"['3.6.1.15', '3.6.1.3', '3.6.1.5', '3.6.1.8', '3.6.3.1', '3.6.3.10', '3.6.3.11', '3.6.3.12', '3.6.3.14', '3.6.3.15', '3.6.3.16', '3.6.3.17', '3.6.3.18', '3.6.3.19', '3.6.3.2', '3.6.3.20', '3.6.3.21', '3.6.3.22', '3.6.3.23', '3.6.3.24', '3.6.3.25', '3.6.3.26', '3.6.3.27', '3.6.3.28', '3.6.3.29', '3.6.3.3', '3.6.3.30', '3.6.3.31', '3.6.3.32', '3.6.3.33', '3.6.3.34', '3.6.3.35', '3.6.3.36', '3.6.3.37', '3.6.3.38', '3.6.3.39', '3.6.3.4', '3.6.3.40', '3.6.3.41', '3.6.3.42', '3.6.3.43', '3.6.3.44', '3.6.3.46', '3.6.3.47', '3.6.3.48', '3.6.3.49', '3.6.3.5', '3.6.3.50', '3.6.3.51', '3.6.3.52', '3.6.3.53', '3.6.3.54', '3.6.3.6', '3.6.3.7', '3.6.3.8', '3.6.3.9', '3.6.4.1', '3.6.4.10', '3.6.4.11', '3.6.4.12', '3.6.4.13', '3.6.4.2', '3.6.4.3', '3.6.4.4', '3.6.4.5', '3.6.4.6', '3.6.4.7', '3.6.4.8', '3.6.4.9']"
NADPPPS,,"['3.1.3.-', '3.1.3.1', '3.1.3.2']"
NTD3,b2291 or b2744 or b2361,"['3.1.3.5', '3.1.3.89']"
GLYOX,b0212,3.1.2.6
DADNtex,b0411,
DHAtex,b1377 or b0241 or b0929 or b2215,
ETOHtex,b1377 or b0241 or b0929 or b2215,
MTRPOX,b1059,1.5.3.2
AGM4PCPpp,b2175,
GTPDPDP,b3779,"['3.6.1.11', '3.6.1.40']"
RNDR2,( b3781 and b2235 and b2234 ) or ( b2582 and b2235 and b2234 ),1.17.4.1
NMNN,,3.2.2.14
XAND,b2867 and b2866 and b2868,1.17.1.4
HACD3,b3846 or b2341,"['1.1.1.211', '1.1.1.35']"
ACACtex,b1377 or b0241 or b0929 or b2215,
ACNAMtex,b0929 or b4311 or b2215,
ARBTNabcpp,b0153 and b0151 and b0152,
NNDMBRT,b1991,2.4.2.21
THRA2,b2551 or b0870,
ASO3t8pp,b3502,3.6.3.16
H2Stex,b0241 or b1377 or b2215 or b0929,
PPK,b2501,
OMCDC,s0001,1.1.1.85
ABUTD,b1444,"['1.2.1.-', '1.2.1.19', '1.2.1.3']"
E4PD,b2927 or b1779,1.2.1.72
IG3PS,b2023 and b2025,"['2.4.2.-', '4.1.3.-', '4.3.2.M2']"
DADK,b0474,"['2.7.4.11', '2.7.4.13', '2.7.4.3']"
DUTPDP,b3640 or b2251,"['3.6.1.-', '3.6.1.23', '3.6.1.9']"
NTP5,b4161,"['3.6.1.15', '3.6.1.5']"
FORt2pp,b0904 or b2492,
MTAN,b0159,"['3.2.2.16', '3.2.2.9']"
DPR,b0425 or b3774,1.1.1.169
THRD_L,b3772 or b3117,4.3.1.19
4PEPTtex,b1377 or b0241 or b0929 or b2215,
NAMNPP,b0931,6.3.4.21
SELNPS,b1764,2.7.9.3
CRNCAR,b0036,5.1.1.-
GALabcpp,( b2149 and b2148 and b2150 ) or ( b4485 and b4227 and b4230 and b4231 ),3.6.3.17
GLYCLTt2rpp,b3603 or b2975,
GUAt2pp,b3654,
HPPPNt2rpp,b0353,
ANHMK,b1640,
DHFR,b1606 or b0048,1.5.1.3
PRAIi,b1262,5.3.1.24
TYRTA,b0928 or b4054 or b3770,"['2.6.1.1', '2.6.1.5', '2.6.1.57', '2.6.1.9']"
SHKK,b3390 or b0388,2.7.1.71
SADH,b1745,3.5.3.23
GLUSy,b3213 and b3212,1.4.1.13
GUAPRT,b0125 or b0238,"['2.4.2.22', '2.4.2.7', '2.4.2.8']"
PDH,b0116 and b0115 and b0114,"['1.2.1.-', '1.2.1.51', '1.2.4.1', '1.8.1.4', '2.3.1.12']"
DMSOR2pp,b1872 and b1873,
H2St1pp,s0001,
HYD3pp,( b0974 and b0973 and b0972 ) or ( b2996 and b2994 and b2997 and b2995 ),1.18.99.1
NO3R1pp,( b1466 and b1467 and b1468 and b1465 ) or ( b1226 and b1224 and b1227 and b1225 ),
AACPS5,b1094 and b2836,
MANptspp,b2416 and b1818 and b1819 and b1817 and b2415,
NTD8,b3399 or b2744 or b2291 or b2361,"['3.1.3.5', '3.1.3.89']"
GALCTD,b3128,4.2.1.42
MLTG4,b0403,3.2.1.20
UDPGDC,b2255,1.1.1.305
PUNP4,b2407 or b4384,"['2.4.2.1', '2.4.2.4']"
AMAOTr,b0774,2.6.1.62
ARGORNt7pp,b1605,
NTD11pp,b0480 or b4055,"['3.1.3.5', '3.1.3.99']"
DKGLCNR2x,b3553,
ACGS,b2818,2.3.1.1
PDE1,b1489 or b3032,"['3.1.4.17', '3.1.4.53']"
MCITD,b0334,4.2.1.79
CU2tex,b0241 or b1377 or b2215 or b0929,
GLCATr,b0459,2.3.1.79
ALAALAr,b0381 or b0092,6.3.2.4
CLtex,b1377 or b0241 or b0929 or b2215,
CELBpts,( b2416 and b2715 and b2415 ) or ( b1737 and b1738 and b1736 and b2416 and b2415 ),
ACACT1r,b2342 or b2224 or b3845,2.3.1.9
MALTptspp,b2415 and b1621 and b2417 and b2416,
CD2abcpp,b3469,"['3.6.3.3', '3.6.3.46']"
G2PPpp,b4055 or b0383,3.1.3.19
Kt3pp,b1216 or b3350 or b0047 or b0842,
AGM3PApp,b2817 or b4169 or b2435 or b0867,
SUCOAS,b0729 and b0728,6.2.1.5
NTP1,b0650 or b4161,"['3.6.1.15', '3.6.1.3', '3.6.1.5', '3.6.1.8', '3.6.3.1', '3.6.3.10', '3.6.3.11', '3.6.3.12', '3.6.3.14', '3.6.3.15', '3.6.3.16', '3.6.3.17', '3.6.3.18', '3.6.3.19', '3.6.3.2', '3.6.3.20', '3.6.3.21', '3.6.3.22', '3.6.3.23', '3.6.3.24', '3.6.3.25', '3.6.3.26', '3.6.3.27', '3.6.3.28', '3.6.3.29', '3.6.3.3', '3.6.3.30', '3.6.3.31', '3.6.3.32', '3.6.3.33', '3.6.3.34', '3.6.3.35', '3.6.3.36', '3.6.3.37', '3.6.3.38', '3.6.3.39', '3.6.3.4', '3.6.3.40', '3.6.3.41', '3.6.3.42', '3.6.3.43', '3.6.3.44', '3.6.3.46', '3.6.3.47', '3.6.3.48', '3.6.3.49', '3.6.3.5', '3.6.3.50', '3.6.3.51', '3.6.3.52', '3.6.3.53', '3.6.3.54', '3.6.3.6', '3.6.3.7', '3.6.3.8', '3.6.3.9', '3.6.4.1', '3.6.4.10', '3.6.4.11', '3.6.4.12', '3.6.4.13', '3.6.4.2', '3.6.4.3', '3.6.4.4', '3.6.4.5', '3.6.4.6', '3.6.4.7', '3.6.4.8', '3.6.4.9']"
GALKr,b0757,2.7.1.6
PANTS,b0133,6.3.2.1
YUMPS,b2165,
DHQS,b3389,4.2.3.4
PGCD,b2913,1.1.1.95
ADSL1r,b1131,4.3.2.2
SERD_D,b2366,4.3.1.18
AICART,b4006,2.1.2.3
FRUpts2pp,b1819 and b1817 and b1818 and b2416 and b2415,
G6Pt6_2pp,b3666,
PROtex,b0241 or b1377 or b2215 or b0929,
SBTtex,b1377 or b0241 or b0929 or b2215,
PFK,b3916 or b1723,2.7.1.11
PGM,b0755 or b3612,"['5.4.2.1', '5.4.2.11', '5.4.2.12']"
TPI,b3919,5.3.1.1
RPI,b2914 or b4090,5.3.1.6
PERD,b2320,1.1.1.290
PYDAMK,b2418,2.7.1.35
AKGtex,b1377 or b0241 or b0929 or b2215,
ALLTNtex,b1377 or b0241 or b0929 or b2215,
ASNtex,b1377 or b0241 or b0929 or b2215,
FE3HOXabcpp,b0152 and b0151 and b0153,
FADRx2,b2764,"['1.5.1.30', '1.5.1.45']"
PDE4,b1489,"['3.1.4.17', '3.1.4.35']"
AGM4PH,b1107,
AM4PA,b0110,
ATHRDHr,b1539,1.1.1.381
LSERDHr,b1539,1.1.1.276
DSERDHr,b1539,
OBTFL,( b0902 and b0903 ) or ( b0903 and b0902 and b2579 ) or ( b0902 and b3114 ),"['2.3.1.-', '2.3.1.54']"
THRt2pp,b0813 or b3823,
G6PP,b3826 or b0822 or b2293,"['3.1.3.58', '3.1.3.9']"
MMCD,b2919,"['4.1.1.41', '4.1.1.9']"
GLNS,b3870,6.3.1.2
TYMtex,b1377 or b0241 or b0929 or b2215,
GTHS,b2947,6.3.2.3
CMPtex,b1377 or b0241 or b0929 or b2215,
DUMPtex,b1377 or b0241 or b0929 or b2215,
XMPtex,b1377 or b0241 or b0929 or b2215,
3PEPTtex,b1377 or b0241 or b0929 or b2215,
ANHGMtex,b1377 or b0241 or b0929 or b2215,
UDPKAAT,b2253,2.6.1.87
ULA4NFT,b2255,2.1.2.13
UPLA4FNT,b2254,
UPLA4FNF,b2256,
ULA4Ntppi,b2258 and b4544,
HEPT1,b3621,2.4.-.-
FALDtex,b1377 or b0241 or b0929 or b2215,
ALR2,b1781 or b3012 or b0207 or b3001,1.1.1.-
AMALT2,b3416,2.4.1.25
MLTP1,b3417,2.4.1.1
HEPT2,b3620,
CYSDtex,b1377 or b0241 or b0929 or b2215,
HXAND,b2867 and b2866 and b2868,1.17.1.4
G3PItex,b1377 or b0241 or b0929 or b2215,
G3PGtex,b1377 or b0241 or b0929 or b2215,
G3PEtex,b2215 or b0929 or b1377 or b0241,
G3PCtex,b1377 or b0241 or b0929 or b2215,
MOAT3C,b3624,
RHAT1,b3629,
GLCabcpp,b2148 and b2149 and b2150,3.6.3.17
GALT1,b3628,
GLCTR2,b3627,
UDPGPpp,b0480,"['3.6.1.45', '3.6.1.8', '3.6.1.9']"
PPPGO,b3850,1.3.3.4
DAMPtex,b1377 or b0241 or b0929 or b2215,
DCMPtex,b1377 or b0241 or b0929 or b2215,
DGMPtex,b1377 or b0241 or b0929 or b2215,
DTMPtex,b1377 or b0241 or b0929 or b2215,
GMPtex,b0929 or b2215 or b0241 or b1377,
IMPtex,b1377 or b0241 or b0929 or b2215,
UMPtex,b2215 or b0929 or b1377 or b0241,
G1Ptex,b1377 or b0241 or b0929 or b2215,
ADNK1,b0474,"['2.7.1.20', '2.7.1.74']"
CUt3,b0573 and b0572 and b0574 and b0575,
ZN2t3pp,b3915 or b0752,
SKMtex,b1377 or b0241 or b0929 or b2215,
MNt2pp,b2392,
MNtex,b1377 or b0241 or b0929 or b2215,
GAL1Ptex,b1377 or b0241 or b0929 or b2215,
O2Stex,b0241 or b1377 or b2215 or b0929,
HEPK1,b3630,
HEPT3,b3632,
HEPK2,b3625,
ALDD3y,b4269 or b3588 or b3011,
R5PP,b2293 or b2690 or b0822 or b0675 or b3697,
CYSSADS,b2810 or b1680,"['4.1.1.12', '4.4.1.1']"
CPPPGO2,b3867,"['1.3.98.3', '1.3.99.22']"
AGM3PH,b1107,
HOMt2pp,b0813 or b3824,
HOMtex,b1377 or b0241 or b0929 or b2215,
SO2tex,b1377 or b0241 or b0929 or b2215,
SO2tpp,s0001,
LDH_D2,b2133,
SHCHF,b3368,4.99.1.4
SUCBZL,b2260,6.2.1.26
CYSDDS,b1919,4.4.1.15
CYStpp,b2578 or b1533,
ACSERtpp,b2578 or b1533,
ACSERtex,b0241 or b1377 or b2215 or b0929,
LALDO3,,"['1.1.1.283', '1.2.1.49']"
NTP10,b4161 or b4394,"['3.6.1.-', '3.6.1.5']"
PRAIS,b2499,6.3.3.1
GDMANE,b2052,
GPDDA4,b3449,3.1.4.46
LPLIPAL2E140,b3825,
LPLIPAL2E180,b3825,3.1.1.5
LPLIPAL2G161,b3825,
LPLIPAL2G181,b3825,
2AGPE120tipp,b2835,
AACPS6,b1094 and b2836,6.2.1.20
AACPS7,b1094 and b2836,6.2.1.l
G3PGabcpp,b3453 and b3450 and b3451 and b3452,
G3PIabcpp,b3453 and b3450 and b3451 and b3452,
G3PSabcpp,b3453 and b3450 and b3451 and b3452,
QMO2,b3029,
QMO3,b3029,
LPLIPAL2E141,b3825,
LPLIPAL2E161,b3825,
LPLIPAL2E181,b3825,
LPLIPAL2G180,b3825,
LPLIPAL2G141,b3825,
2AGPA120tipp,b2835,
2AGPG180tipp,b2835,
IPDDI,b2889,5.3.3.2
2AGPGAT180,b2836,
2AGPGAT181,b2836,
LPLIPAL2ATG120,b3825,
PLIPA1E140pp,b3821,
PLIPA1E160pp,b3821,3.1.1.32
PLIPA1E161pp,b3821,
AACPS8,b1094 and b2836,6.2.1.20
AACPS9,b1094 and b2836,6.2.1.l
HXCT,b2222 and b2221,2.8.3.8
2AGPEAT160,b2836,2.3.1.40
DURADx,b2147 and b2146,1.3.1.1
ECOAH7,b2341 or b3846,"['4.2.1.17', '4.2.1.74']"
G1PPpp,b1002 or b0383,3.1.3.10
GALCTND,b4478,"['4.2.1.140', '4.2.1.6']"
GCALDD,b1415,1.2.1.21
HISTP,b2022,3.1.3.15
LDH_D,b1380,1.1.1.28
AMALT4,b3416,2.4.1.25
NTD11,b2744 or b3399,"['3.1.3.5', '3.1.3.99']"
ORNDC,b2965 or b0693,4.1.1.17
UPP3MT,b3368,2.1.1.107
KAS15,b1091,2.3.1.180
ALAALAtex,b1377 or b0241 or b0929 or b2215,
FACOAL181t2pp,b1805 or b1701,
T2DECAI,b0954,
3OAS161,b2323,2.3.1.41
EAR141y,b1288,1.3.1.10
EAR161x,b1288,1.3.1.9
DASYN160,b0175,2.7.7.41
DASYN161,b0175,2.7.7.41
DASYN181,b0175,2.7.7.41
CDAPPA161,b3918,3.6.1.26
PGSA180,b1912,2.7.8.5
PSSA140,b2585,
2AGPGAT141,b2836,
FACOAE180,b0452,3.1.2.2
FACOAE100,b0452,3.1.2.2
FACOAE80,b0452,
FACOAE60,b0452,
PLIPA1E120pp,b3821,
MALtex,b1377 or b0241 or b0929 or b2215,
NO3tex,b0929 or b1377 or b0241 or b2215,
3OAS141,b2323,2.3.1.41
3OAR121,b1093,1.1.1.100
CFAS160G,b1661,2.1.1.79
URAt2pp,b2497 or b1006,
FACOAE141,b0452,
FACOAE161,b0452,
TTDCEAtexi,b2344,
HDCEAtexi,b2344,
ALAALAD,b1488,3.4.13.22
2AGPEAT180,b2836,2.3.1.40
2AGPEAT181,b2836,
2AGPGAT140,b2836,
PLIPA1E181pp,b3821,
PLIPA1G180pp,b3821,
PLIPA1G181pp,b3821,
ALAALAabcpp,( b3540 and b3542 and b3544 and b3543 and b3541 ) or ( b1485 and b1486 and b1487 and b1483 and b1484 ),
HEXt2rpp,b2223,
G3PEabcpp,b3453 and b3450 and b3451 and b3452,
G3PCabcpp,b3453 and b3450 and b3451 and b3452,
2AGPGAT161,b2836,
AMPTASEPG,b4260 or b2523 or b0932 or b0237,
PROGLYabcpp,b3541 and b3542 and b3544 and b3540 and b3543,
GTHRDabcpp,b0829 and b0831 and b0830 and b0832,
2AGPG140tipp,b2835,
2AGPG160tipp,b2835,
2AGPG141tipp,b2835,
2AGPG161tipp,b2835,
2AGPG181tipp,b2835,
2AGPEAT140,b2836,
2AGPEAT120,b2836,
2AGPEAT161,b2836,
2AGPEAT141,b2836,
2AGPGAT160,b2836,
LPLIPAL2ATG140,b3825,
LPLIPAL2ATG141,b3825,
LPLIPAL2ATG160,b3825,
LPLIPAL2ATG180,b3825,
LPLIPAL2ATG161,b3825,
LPLIPAL2ATG181,b3825,
CLPNS180pp,b1249 or b0789,
CLPNS181pp,b1249 or b0789,
PG161abcpp,b0914,
PGP120abcpp,b0914,
PGP161abcpp,b0914,
PGP181abcpp,b0914,
PA120abcpp,b0914,
PLIPA1G120pp,b3821,
CLPNS120pp,b0789 or b1249,
ALPATE160pp,b1677 and b0657,
ALPATG160pp,b1677 and b0657,
2AGPGAT120,b2836,
LPLIPAL2ATE120,b3825,
LPLIPAL2ATE140,b3825,
LPLIPAL2ATE160,b3825,
LPLIPAL2ATE180,b3825,
LPLIPAL2ATE141,b3825,
LPLIPAL2ATE161,b3825,
LPLIPAL2ATE181,b3825,
FACOAL141t2pp,b1701 or b1805,
FACOAL161t2pp,b1805 or b1701,
PA160abcpp,b0914,
PA181abcpp,b0914,
PGPP140pp,b0418 or b1278,
PGPP141pp,b0418 or b1278,
PGPP160pp,b0418 or b1278,3.1.3.27
PGPP180pp,b0418 or b1278,3.1.3.27
PLIPA1E180pp,b3821,3.1.1.32
PLIPA1G140pp,b3821,
PLIPA1G161pp,b3821,
CLPNS160pp,b0789 or b1249,
CLPNS161pp,b1249 or b0789,
PG160abcpp,b0914,
PGP140abcpp,b0914,
PAPA120pp,b1278,
PAPA140pp,b1278,
PAPA141pp,b1278,
PAPA160pp,b1278,3.1.3.4
PAPA161pp,b1278,
PAPA180pp,b1278,
HPYRI,b0508,5.3.1.22
TPRDCOAS,b0613,2.4.2.52
ACGAM1PPpp,,3.1.3.10
GAMptspp,b1817 and b2416 and b2415 and b1819 and b1818,
GSNt2pp,b2964,
GSNtex,b1377 or b0241 or b0929 or b2215,
FORtex,b1377 or b0241 or b0929 or b2215,
D_LACt2pp,b3603 or b2975,
RIBtex,b1377 or b0241 or b0929 or b2215,
FLVRx,b3844,"['1.5.1.36', '1.5.1.41']"
