,gpr,ec
NTD4,b2744 or b0675,"['3.1.3.5', '3.1.3.91']"
NTD5,b2291 or b2744 or b4374 or b2361,"['3.1.3.35', '3.1.3.5', '3.1.3.89']"
NTD6,b2291 or b2744 or b2361,"['3.1.3.5', '3.1.3.89']"
LGTHL,b1651,4.4.1.5
PYDXPP,b0766 or b0446 or b3826 or b0675,3.1.3.74
PDXPP,b0766,3.1.3.74
HACD6,b3846 or b2341,"['1.1.1.211', '1.1.1.35']"
ECOAH1,b2341 or b3846,"['4.2.1.150', '4.2.1.17', '4.2.1.55']"
ECOAH2,b2341 or b3846,"['4.2.1.17', '4.2.1.74']"
ECOAH3,b2341 or b3846,"['4.2.1.17', '4.2.1.74']"
UGLT,b0758,2.7.7.12
DXPS,b0420,2.2.1.7
CDPMEK,b1208,2.7.1.148
MECDPS,b2746,4.6.1.12
DDGLK,b3526,"['2.7.1.178', '2.7.1.45']"
XYLI2,b3565,5.3.1.5
PMANM,b2048,5.4.2.8
ICL,b4015,4.1.3.1
GLYCL,b0116 and b2904 and b2903 and b2905,"['1.4.4.2', '1.8.1.4', '2.1.2.10']"
CMPN,,3.2.2.10
HCYSMT,b0261,"['2.1.1.-', '2.1.1.10']"
UDPG4E,b0759,5.1.3.2
LACZ,b0344,"['3.2.1.108', '3.2.1.23']"
TRE6PH,b4239,"['3.2.1.122', '3.2.1.93']"
XYLI1,b3565,5.3.1.5
PPC,b3956,4.1.1.31
