reactions,metabolites,metabolitestotal,gpr,genes
LDAPAT,26dap_LL_c,26dap_LL,SGL_RS15455,SGL_RS15455
LDAPAT,akg_c,akg,SGL_RS15455,SGL_RS15455
DAPDC,26dap__M_c,26dap__M,SGL_RS16710,SGL_RS16710
LTHRK,thr__L_c,thr__L,SGL_RS16190,SGL_RS16190
ASNN_1_num1,asn__L_c,asn__L,SGL_RS11775,SGL_RS11775
THRPDC,thrp_c,thrp,SGL_RS06405,SGL_RS06405
PHYTEDH2,phytoe_c,phytoe,SGL_RS08440,SGL_RS08440
PHYTFDH2,phytof_c,phytof,SGL_RS08440,SGL_RS08440
ZCAROTDH1,zcarote_c,zcarote,SGL_RS16540 and SGL_RS11330,SGL_RS16540
ZCAROTDH1,zcarote_c,zcarote,SGL_RS16540 and SGL_RS11330,SGL_RS11330
ECHINH,echin_c,echin,SGL_RS06460,SGL_RS06460
BCAROHX11,caro_c,caro,SGL_RS06460,SGL_RS06460
BCAROHX21,bcryptox_c,bcryptox,SGL_RS06460,SGL_RS06460
BCAROKE,caro_c,caro,SGL_RS15345,SGL_RS15345
GLUTRS,glu__L_c,glu__L,SGL_RS14665,SGL_RS14665
GLUTRS,trnaglu_c,trnaglu,SGL_RS14665,SGL_RS14665
GLUTRR,glutrna_c,glutrna,SGL_RS07880,SGL_RS07880
HMBS_1,ppbng_c,ppbng,SGL_RS07710,SGL_RS07710
UPPDC1,uppg3_c,uppg3,SGL_RS16675,SGL_RS16675
CPPPGO,cpppg3_c,cpppg3,SGL_RS03345,SGL_RS03345
MPOMT,amet_c,amet,SGL_RS16610,SGL_RS16610
MPOMT,mppp9_c,mppp9,SGL_RS16610,SGL_RS16610
CPPPGO2_num1,amet_c,amet,SGL_RS10380,SGL_RS10380
CPPPGO2_num1,cpppg3_c,cpppg3,SGL_RS10380,SGL_RS10380
PPPGO_num1,pppg9_c,pppg9,SGL_RS09640,SGL_RS09640
DVOCHR,dvpchlld_c,dvpchlld,SGL_RS12255,SGL_RS12255
SPS,f6p_c,f6p,SGL_RS16460,SGL_RS16460
SPS,udpg_c,udpg,SGL_RS16460,SGL_RS16460
SPP,suc6p_c,suc6p,SGL_RS11425,SGL_RS11425
FCLT,ppp9_c,ppp9,SGL_RS15155,SGL_RS15155
HEMEOS,frdp_c,frdp,SGL_RS10195,SGL_RS10195
HEMEOS,pheme_c,pheme,SGL_RS10195,SGL_RS10195
HEMEAS,hemeO_c,hemeO,SGL_RS10200,SGL_RS10200
PRATPP,prbatp_c,prbatp,SGL_RS18375,SGL_RS18375
ATPPRT,prpp_c,prpp,SGL_RS16845 and SGL_RS17420,SGL_RS17420
ATPPRT,prpp_c,prpp,SGL_RS16845 and SGL_RS17420,SGL_RS16845
IG3PS_num1,gln__L_c,gln__L,SGL_RS10250,SGL_RS10250
IG3PS_num1,prlp_c,prlp,SGL_RS10250,SGL_RS10250
HISTP,hisp_c,hisp,SGL_RS15280,SGL_RS15280
POR_1,pchlld_c,pchlld,SGL_RS15440,SGL_RS15440
MPOMOR_num1,omppp9_c,omppp9,SGL_RS10390,SGL_RS10390
MPOMC1_num1,mppp9om_c,mppp9om,SGL_RS10390,SGL_RS10390
PCHR,fdxrd_c,fdxrd,SGL_RS17655 and SGL_RS17660 and SGL_RS13030,SGL_RS17660
PCHR,fdxrd_c,fdxrd,SGL_RS17655 and SGL_RS17660 and SGL_RS13030,SGL_RS17655
PCHR,fdxrd_c,fdxrd,SGL_RS17655 and SGL_RS17660 and SGL_RS13030,SGL_RS13030
PCHR,pchlld_c,pchlld,SGL_RS17655 and SGL_RS17660 and SGL_RS13030,SGL_RS17660
PCHR,pchlld_c,pchlld,SGL_RS17655 and SGL_RS17660 and SGL_RS13030,SGL_RS17655
PCHR,pchlld_c,pchlld,SGL_RS17655 and SGL_RS17660 and SGL_RS13030,SGL_RS13030
CYSST_num1,cys__L_c,cys__L,SGL_RS02380,SGL_RS02380
CYSST_num1,enz_c,enz,SGL_RS02380,SGL_RS02380
CHPHYS,chlld_c,chlld,SGL_RS13885,SGL_RS13885
CHPHYS,phdp_c,phdp,SGL_RS13885,SGL_RS13885
MTHFR2,mlthf_c,mlthf,SGL_RS07805,SGL_RS07805
KARI_23dhmp_1,3hmop_c,3hmop,SGL_RS17215,SGL_RS17215
HISTDa_1_num1,histd_c,histd,SGL_RS03870,SGL_RS03870
KARA1,23dhmb_c,23dhmb,SGL_RS17215,SGL_RS17215
GOX,gly_c,gly,SGL_RS14260,SGL_RS14260
GOR1,glx_c,glx,SGL_RS02960,SGL_RS02960
GOR1,nh3_c,nh3,SGL_RS02960,SGL_RS02960
MTHFR3,mlthf_c,mlthf,SGL_RS07805,SGL_RS07805
GLUCYS,cys__L_c,cys__L,SGL_RS12490,SGL_RS12490
GLUCYS,glu__L_c,glu__L,SGL_RS12490,SGL_RS12490
LEUTA,akg_c,akg,SGL_RS16510,SGL_RS16510
LEUTA,leu__L_c,leu__L,SGL_RS16510,SGL_RS16510
GTHS,glucys_c,glucys,SGL_RS06800,SGL_RS06800
GTHS,gly_c,gly,SGL_RS06800,SGL_RS06800
VALTA,akg_c,akg,SGL_RS16510,SGL_RS16510
VALTA,val__L_c,val__L,SGL_RS16510,SGL_RS16510
IPMD,3c2hmp_c,3c2hmp,SGL_RS09375,SGL_RS09375
MM3OR1,e3mmal_c,e3mmal,SGL_RS09375,SGL_RS09375
DNTPPA_num1,ahdt_c,ahdt,SGL_RS05605,SGL_RS05605
MMS_num1,accoa_c,accoa,SGL_RS11140,SGL_RS11140
MMS_num1,pyr_c,pyr,SGL_RS11140,SGL_RS11140
GTHRDH_syn,gthrd_c,gthrd,SGL_RS10660,SGL_RS10660
IPPS_num1,3mob_c,3mob,SGL_RS11140,SGL_RS11140
IPPS_num1,accoa_c,accoa,SGL_RS11140,SGL_RS11140
MMHL,2mm_c,2mm,SGL_RS10800 and SGL_RS17620,SGL_RS17620
MMHL,2mm_c,2mm,SGL_RS10800 and SGL_RS17620,SGL_RS10800
SBP,s17bp_c,s17bp,SGL_RS09170,SGL_RS09170
DPR,2dhp_c,2dhp,SGL_RS17215,SGL_RS17215
AMPTASECG,cgly_c,cgly,SGL_RS17040 and SGL_RS09430 and SGL_RS14865 and SGL_RS16015 and SGL_RS14930,SGL_RS17040
AMPTASECG,cgly_c,cgly,SGL_RS17040 and SGL_RS09430 and SGL_RS14865 and SGL_RS16015 and SGL_RS14930,SGL_RS14865
